,sink_m1,sink_m4,sink_m7,sink_m8,sink_m10,sink_m11,sink_m13,sink_m14,sink_m16,sink_m17,sink_m20,sink_m21,sink_m23,sink_m24,sink_m26,sink_m27,sink_m29,sink_m30,sink_m31,sink_m32
2019-01-01 00:00:00,-0.3350065685553252,-0.5885581381186772,-0.25036920902748927,-0.4233130969149299,-0.2907569292821418,-0.39171985156736994,-0.35212020783250975,-0.5536231596446302,-0.23278526675875277,-0.37506478697332146,-0.4976265402207514,-0.388703248202909,-0.22566678558282094,-0.7426094826138919,-0.33150179748173697,-0.3817454023468902,-0.5588283561434433,-0.38279814435923787,-0.20128208382068202,-0.5548114563370549
2019-01-01 01:00:00,-0.3217830611337019,-0.5638595670659254,-0.24851119064589514,-0.4657351937064794,-0.264219166490195,-0.33319199919827736,-0.40221935598156616,-0.34925879521895525,-0.17303950598645262,-0.4667580069441661,-0.2595322975667164,-0.35224771859160003,-0.27918227780111443,-0.294386373437924,-0.31254245928077806,-0.44528465790142263,-0.2075556327528309,-0.434202707479718,-0.21392817304594922,-0.2316618440688555
2019-01-01 02:00:00,-0.34302684122708654,-0.6065883987826477,-0.26520871392664025,-0.4099798504532581,-0.26257637975906895,-0.44674408682639105,-0.25935774409179857,-0.36633921689084786,-0.2588637592671704,-0.28711178904211543,-0.30922977316203804,-0.4666247926117171,-0.1815379869298943,-0.37234492367438693,-0.4779193772407223,-0.3166612756702049,-0.21417856632648774,-0.6507384560333042,-0.18705448942371605,-0.21989226923463953
2019-01-01 03:00:00,-0.3632100893969326,-0.6035352543905181,-0.2722465129953841,-0.4231876436085081,-0.2796794559252513,-0.3461569552756635,-0.3515021652604513,-0.4380778037975627,-0.1495999349265102,-0.44182039226698444,-0.33354623553523066,-0.2594667389259639,-0.20225225738302377,-0.5329226666504355,-0.20184097208370713,-0.3871623833180407,-0.36217702331929014,-0.30837200268385334,-0.23971604006793465,-0.5019817241023531
2019-01-01 04:00:00,-0.3703907742958926,-0.6544361840324434,-0.2818125970236977,-0.5017394483308969,-0.39719470241321625,-0.4229076053349616,-0.32018035709742787,-0.686022849319499,-0.25575440446178704,-0.3945995739462687,-0.4318568527475171,-0.5327315863679999,-0.22919061390937637,-0.682407188417773,-0.4883424154242539,-0.47430318177404895,-0.40562511892634784,-0.7324979670018794,-0.24990999643334846,-0.45624380999590564
2019-01-01 05:00:00,-0.4009473503428515,-0.6635348581164523,-0.2976328596362101,-0.42500700125026203,-0.3815658078676792,-0.36433711146934666,-0.33645137809328884,-0.6491678607860258,-0.22197266948964442,-0.40592389167623977,-0.5370164468626281,-0.3916442116233377,-0.2343323657080046,-0.696754271131148,-0.29242463416784187,-0.45081518079634186,-0.5319131256673206,-0.37681178005920585,-0.2794056539288921,-0.7214372625545785
2019-01-01 06:00:00,-0.4264774469605384,-0.696754891875596,-0.3343102410574926,-0.4708296695299864,-0.29651203832755063,-0.5386025206161883,-0.3383945265465377,-0.4113438617828383,-0.2635692218982367,-0.42005290337868345,-0.37404031551175965,-0.5323230109357353,-0.2630627690059478,-0.5819777644945684,-0.47025650765849547,-0.5226001157073317,-0.39562779193931574,-0.5897397473268001,-0.28990038588785355,-0.5135244141981616
2019-01-01 07:00:00,-0.42844384990209977,-0.7360964041920948,-0.3418408831982772,-0.6417446421144303,-0.38849615607108856,-0.46519424667756354,-0.39566605880244665,-0.716445200004318,-0.23567404717632098,-0.5230620425396549,-0.46101469719654514,-0.5016765699237954,-0.2508414626255202,-0.6750142494412164,-0.407122633637178,-0.3856555201795719,-0.3948849186936197,-0.6515419278863402,-0.18887453490177147,-0.38772003966430674
2019-01-01 08:00:00,-0.4271955154504345,-0.7729619834940802,-0.33658224761960104,-0.5478213566535305,-0.460307013836996,-0.42356315478335893,-0.34313586825373293,-0.8535003225633014,-0.2561356940477505,-0.46353904293399584,-0.6924634345054326,-0.5128711982204063,-0.28498252169135785,-0.8120620010392694,-0.42955611586365505,-0.44832859007694276,-0.5301075186949247,-0.6553625138694676,-0.2702901614447535,-0.6254795070605582
2019-01-01 09:00:00,-0.40541042218774354,-0.7289116415180779,-0.3255277775137241,-0.42975374587251775,-0.3934866435287946,-0.386770356566026,-0.26952367941814753,-0.5494530373228224,-0.2077005348479695,-0.2816456585845228,-0.5010291611372807,-0.41329497636962664,-0.1797167108270705,-0.6275861243217941,-0.42049780258826003,-0.28732761674415824,-0.38686121440989124,-0.6653265862969484,-0.13925174573378693,-0.4848166823789538
