Date,Load,Zone
1/1/2019 12:00:00 AM,1131.1,CAPITL
1/1/2019 12:00:00 AM,1597.6,CENTRL
1/1/2019 12:00:00 AM,581.8,DUNWOD
1/1/2019 12:00:00 AM,897.5,GENESE
1/1/2019 12:00:00 AM,948.6,HUD VL
1/1/2019 12:00:00 AM,1974.2,LONGIL
1/1/2019 12:00:00 AM,770.7,MHK VL
1/1/2019 12:00:00 AM,272.5,MILLWD
1/1/2019 12:00:00 AM,4896,N.Y.C.
1/1/2019 12:00:00 AM,539.6,NORTH
1/1/2019 12:00:00 AM,1443.2,WEST
1/1/2019 1:00:00 AM,1082,CAPITL
1/1/2019 1:00:00 AM,1539.6,CENTRL
1/1/2019 1:00:00 AM,560.4,DUNWOD
1/1/2019 1:00:00 AM,861,GENESE
1/1/2019 1:00:00 AM,896.4,HUD VL
1/1/2019 1:00:00 AM,1848.9,LONGIL
1/1/2019 1:00:00 AM,729.8,MHK VL
1/1/2019 1:00:00 AM,260,MILLWD
1/1/2019 1:00:00 AM,4719.6,N.Y.C.
1/1/2019 1:00:00 AM,529,NORTH
1/1/2019 1:00:00 AM,1454.3,WEST
1/1/2019 2:00:00 AM,1042,CAPITL
1/1/2019 2:00:00 AM,1490.6,CENTRL
1/1/2019 2:00:00 AM,536.3,DUNWOD
1/1/2019 2:00:00 AM,834.9,GENESE
1/1/2019 2:00:00 AM,848.3,HUD VL
1/1/2019 2:00:00 AM,1748.8,LONGIL
1/1/2019 2:00:00 AM,701.1,MHK VL
1/1/2019 2:00:00 AM,252.5,MILLWD
1/1/2019 2:00:00 AM,4532.9,N.Y.C.
1/1/2019 2:00:00 AM,517.9,NORTH
1/1/2019 2:00:00 AM,1421.8,WEST
1/1/2019 3:00:00 AM,1023.4,CAPITL
1/1/2019 3:00:00 AM,1455.8,CENTRL
1/1/2019 3:00:00 AM,516.3,DUNWOD
1/1/2019 3:00:00 AM,807.5,GENESE
1/1/2019 3:00:00 AM,834.5,HUD VL
1/1/2019 3:00:00 AM,1675.9,LONGIL
1/1/2019 3:00:00 AM,687.2,MHK VL
1/1/2019 3:00:00 AM,237.9,MILLWD
1/1/2019 3:00:00 AM,4395.6,N.Y.C.
1/1/2019 3:00:00 AM,533.9,NORTH
1/1/2019 3:00:00 AM,1397.6,WEST
1/1/2019 4:00:00 AM,1021.4,CAPITL
1/1/2019 4:00:00 AM,1426.7,CENTRL
1/1/2019 4:00:00 AM,501.7,DUNWOD
1/1/2019 4:00:00 AM,803,GENESE
1/1/2019 4:00:00 AM,826.8,HUD VL
1/1/2019 4:00:00 AM,1649.2,LONGIL
1/1/2019 4:00:00 AM,673.6,MHK VL
1/1/2019 4:00:00 AM,234.1,MILLWD
1/1/2019 4:00:00 AM,4322.6,N.Y.C.
1/1/2019 4:00:00 AM,529.7,NORTH
1/1/2019 4:00:00 AM,1364.4,WEST
1/1/2019 5:00:00 AM,1038.6,CAPITL
1/1/2019 5:00:00 AM,1451.8,CENTRL
1/1/2019 5:00:00 AM,508.8,DUNWOD
1/1/2019 5:00:00 AM,830.6,GENESE
1/1/2019 5:00:00 AM,840.8,HUD VL
1/1/2019 5:00:00 AM,1655.7,LONGIL
1/1/2019 5:00:00 AM,684.5,MHK VL
1/1/2019 5:00:00 AM,231.5,MILLWD
1/1/2019 5:00:00 AM,4337.3,N.Y.C.
1/1/2019 5:00:00 AM,519.8,NORTH
1/1/2019 5:00:00 AM,1375.5,WEST
1/1/2019 6:00:00 AM,1062,CAPITL
1/1/2019 6:00:00 AM,1528.3,CENTRL
1/1/2019 6:00:00 AM,523.6,DUNWOD
1/1/2019 6:00:00 AM,866,GENESE
1/1/2019 6:00:00 AM,874.2,HUD VL
1/1/2019 6:00:00 AM,1682.2,LONGIL
1/1/2019 6:00:00 AM,720.6,MHK VL
1/1/2019 6:00:00 AM,223.4,MILLWD
1/1/2019 6:00:00 AM,4423.9,N.Y.C.
1/1/2019 6:00:00 AM,526.6,NORTH
1/1/2019 6:00:00 AM,1415.2,WEST
1/1/2019 7:00:00 AM,1097.6,CAPITL
1/1/2019 7:00:00 AM,1575.1,CENTRL
1/1/2019 7:00:00 AM,527.5,DUNWOD
1/1/2019 7:00:00 AM,893.2,GENESE
1/1/2019 7:00:00 AM,871.8,HUD VL
1/1/2019 7:00:00 AM,1689.3,LONGIL
1/1/2019 7:00:00 AM,761.9,MHK VL
1/1/2019 7:00:00 AM,243.2,MILLWD
1/1/2019 7:00:00 AM,4515.6,N.Y.C.
1/1/2019 7:00:00 AM,563.1,NORTH
1/1/2019 7:00:00 AM,1460.8,WEST
1/1/2019 8:00:00 AM,1121.5,CAPITL
1/1/2019 8:00:00 AM,1617.9,CENTRL
1/1/2019 8:00:00 AM,534.6,DUNWOD
1/1/2019 8:00:00 AM,922.7,GENESE
1/1/2019 8:00:00 AM,902.9,HUD VL
1/1/2019 8:00:00 AM,1722.2,LONGIL
1/1/2019 8:00:00 AM,798.2,MHK VL
1/1/2019 8:00:00 AM,253.3,MILLWD
1/1/2019 8:00:00 AM,4632.5,N.Y.C.
1/1/2019 8:00:00 AM,584.4,NORTH
1/1/2019 8:00:00 AM,1479.3,WEST
1/1/2019 9:00:00 AM,1160.1,CAPITL
1/1/2019 9:00:00 AM,1702.4,CENTRL
1/1/2019 9:00:00 AM,553.2,DUNWOD
1/1/2019 9:00:00 AM,967.3,GENESE
1/1/2019 9:00:00 AM,944.9,HUD VL
1/1/2019 9:00:00 AM,1798.4,LONGIL
1/1/2019 9:00:00 AM,860.6,MHK VL
1/1/2019 9:00:00 AM,270.2,MILLWD
1/1/2019 9:00:00 AM,4779.8,N.Y.C.
1/1/2019 9:00:00 AM,599.4,NORTH
1/1/2019 9:00:00 AM,1535.8,WEST
1/1/2019 10:00:00 AM,1209.6,CAPITL
1/1/2019 10:00:00 AM,1784.8,CENTRL
1/1/2019 10:00:00 AM,581.9,DUNWOD
1/1/2019 10:00:00 AM,1017,GENESE
1/1/2019 10:00:00 AM,971.9,HUD VL
1/1/2019 10:00:00 AM,1905.2,LONGIL
1/1/2019 10:00:00 AM,905.2,MHK VL
1/1/2019 10:00:00 AM,283.4,MILLWD
1/1/2019 10:00:00 AM,4937.5,N.Y.C.
1/1/2019 10:00:00 AM,598,NORTH
1/1/2019 10:00:00 AM,1601,WEST
1/1/2019 11:00:00 AM,1258.5,CAPITL
1/1/2019 11:00:00 AM,1838.8,CENTRL
1/1/2019 11:00:00 AM,592.5,DUNWOD
1/1/2019 11:00:00 AM,1055,GENESE
1/1/2019 11:00:00 AM,973.9,HUD VL
1/1/2019 11:00:00 AM,1968.4,LONGIL
1/1/2019 11:00:00 AM,942.3,MHK VL
1/1/2019 11:00:00 AM,286.7,MILLWD
1/1/2019 11:00:00 AM,5058.9,N.Y.C.
1/1/2019 11:00:00 AM,600.7,NORTH
1/1/2019 11:00:00 AM,1625.8,WEST
1/1/2019 12:00:00 PM,1283.8,CAPITL
1/1/2019 12:00:00 PM,1867.4,CENTRL
1/1/2019 12:00:00 PM,584.4,DUNWOD
1/1/2019 12:00:00 PM,1071.9,GENESE
1/1/2019 12:00:00 PM,978.4,HUD VL
1/1/2019 12:00:00 PM,1921.2,LONGIL
1/1/2019 12:00:00 PM,940.8,MHK VL
1/1/2019 12:00:00 PM,285.5,MILLWD
1/1/2019 12:00:00 PM,5094.6,N.Y.C.
1/1/2019 12:00:00 PM,616,NORTH
1/1/2019 12:00:00 PM,1636.6,WEST
1/1/2019 1:00:00 PM,1303.2,CAPITL
1/1/2019 1:00:00 PM,1867.5,CENTRL
1/1/2019 1:00:00 PM,586,DUNWOD
1/1/2019 1:00:00 PM,1073.3,GENESE
1/1/2019 1:00:00 PM,983.9,HUD VL
1/1/2019 1:00:00 PM,1873.2,LONGIL
1/1/2019 1:00:00 PM,920.5,MHK VL
1/1/2019 1:00:00 PM,285.6,MILLWD
1/1/2019 1:00:00 PM,5115.5,N.Y.C.
1/1/2019 1:00:00 PM,590.3,NORTH
1/1/2019 1:00:00 PM,1646.2,WEST
1/1/2019 2:00:00 PM,1298.5,CAPITL
1/1/2019 2:00:00 PM,1864.7,CENTRL
1/1/2019 2:00:00 PM,592.7,DUNWOD
1/1/2019 2:00:00 PM,1083.2,GENESE
1/1/2019 2:00:00 PM,1013.3,HUD VL
1/1/2019 2:00:00 PM,1948.8,LONGIL
1/1/2019 2:00:00 PM,915.6,MHK VL
1/1/2019 2:00:00 PM,291.2,MILLWD
1/1/2019 2:00:00 PM,5169.3,N.Y.C.
1/1/2019 2:00:00 PM,587.3,NORTH
1/1/2019 2:00:00 PM,1655.1,WEST
1/1/2019 3:00:00 PM,1333.7,CAPITL
1/1/2019 3:00:00 PM,1887,CENTRL
1/1/2019 3:00:00 PM,608,DUNWOD
1/1/2019 3:00:00 PM,1094.5,GENESE
1/1/2019 3:00:00 PM,1053.4,HUD VL
1/1/2019 3:00:00 PM,2053.4,LONGIL
1/1/2019 3:00:00 PM,932,MHK VL
1/1/2019 3:00:00 PM,300.4,MILLWD
1/1/2019 3:00:00 PM,5233,N.Y.C.
1/1/2019 3:00:00 PM,589.7,NORTH
1/1/2019 3:00:00 PM,1686.5,WEST
1/1/2019 4:00:00 PM,1416.5,CAPITL
1/1/2019 4:00:00 PM,326.4,MILLWD
1/1/2019 4:00:00 PM,5422.4,N.Y.C.
1/1/2019 4:00:00 PM,609,NORTH
1/1/2019 4:00:00 PM,1766.8,WEST
1/1/2019 4:00:00 PM,1966.7,CENTRL
1/1/2019 4:00:00 PM,653.8,DUNWOD
1/1/2019 4:00:00 PM,1149.3,GENESE
1/1/2019 4:00:00 PM,1132,HUD VL
1/1/2019 4:00:00 PM,2282.7,LONGIL
1/1/2019 4:00:00 PM,987.8,MHK VL
