Date & Hour,"Total
Type A
Buildings lbs steam "," Total
Type B
Buildings lbs steam  "," Total 
Type C
Buildings lbs steam ", Steam Totals lbs steam ,Type A MWth,Type B MWth,Type C MWth,Steam Totals MWth,Outside Air Temp deg F,Outside Air Relative Humidity %,Outside Air Enthalpy BTU/lb
2001/1/17 00:00,"30,325","38,747","50,801","119,873",9.15,11.69,15.33,36.18,37,81,13.1
2001/1/17 01:00,"29,128","37,121","50,424","116,672",8.79,11.2,15.22,35.21,37,80,13
2001/1/17 02:00,"31,051","39,934","53,812","124,797",9.37,12.05,16.24,37.66,38,81,13.5
2001/1/17 03:00,"32,878","39,733","55,240","127,851",9.92,11.99,16.67,38.58,36,84,12.8
2001/1/17 04:00,"33,528","43,084","57,181","133,793",10.12,13,17.26,40.38,35,61,11.3
2001/1/17 05:00,"36,294","43,683","60,391","140,368",10.95,13.18,18.23,42.36,35,62,11.4
2001/1/17 06:00,"38,605","45,870","67,833","152,307",11.65,13.84,20.47,45.96,33,60,10.6
2001/1/17 07:00,"38,783","48,460","69,361","156,605",11.7,14.62,20.93,47.26,31,63,10.1
2001/1/17 08:00,"38,670","50,887","68,294","157,851",11.67,15.36,20.61,47.64,31,62,10
2001/1/17 09:00,"36,698","47,987","66,051","150,737",11.08,14.48,19.93,45.49,31,65,10.1
2001/1/17 10:00,"35,049","41,401","60,721","137,170",10.58,12.49,18.32,41.4,32,61,10.3
2001/1/17 11:00,"32,368","39,234","56,044","127,645",9.77,11.84,16.91,38.52,34,58,10.8
2001/1/17 12:00,"33,729","37,645","57,077","128,452",10.18,11.36,17.23,38.77,34,56,10.7
2001/1/17 13:00,"31,945","39,265","54,879","126,089",9.64,11.85,16.56,38.05,35,54,11
2001/1/17 14:00,"32,101","37,888","53,802","123,791",9.69,11.43,16.24,37.36,36,51,11.2
2001/1/17 15:00,"30,764","37,386","53,168","121,318",9.28,11.28,16.05,36.61,38,47,11.6
2001/1/17 16:00,"31,365","37,717","54,310","123,391",9.47,11.38,16.39,37.24,39,48,12
2001/1/17 17:00,"32,998","40,984","59,622","133,604",9.96,12.37,17.99,40.32,36,62,11.7
2001/1/17 18:00,"36,168","45,861","67,226","149,255",10.92,13.84,20.29,45.04,30,71,10
2001/1/17 19:00,"36,534","46,370","66,235","149,140",11.03,13.99,19.99,45.01,27,76,9.2
2001/1/17 20:00,"37,893","47,281","68,759","153,934",11.44,14.27,20.75,46.46,26,76,8.9
2001/1/17 21:00,"37,944","47,963","67,880","153,786",11.45,14.47,20.49,46.41,25,79,8.7
2001/1/17 22:00,"37,303","47,861","67,117","152,281",11.26,14.44,20.26,45.96,24,81,8.4
2001/1/17 23:00,"36,786","48,103","64,996","149,885",11.1,14.52,19.62,45.23,23,83,8.1
2001/2/17 00:00,"36,669","46,877","63,678","147,224",11.07,14.15,19.22,44.43,23,86,8.2
2001/2/17 01:00,"37,474","47,586","65,908","150,968",11.31,14.36,19.89,45.56,23,78,8
2001/2/17 02:00,"38,508","47,332","66,168","152,008",11.62,14.28,19.97,45.87,26,81,9.1
2001/2/17 03:00,"41,721","46,188","70,881","158,790",12.59,13.94,21.39,47.92,24,83,8.5
2001/2/17 04:00,"42,756","48,774","73,556","165,086",12.9,14.72,22.2,49.82,22,83,7.8
2001/2/17 05:00,"44,429","50,810","74,676","169,916",13.41,15.33,22.54,51.28,22,84,7.8
2001/2/17 06:00,"44,500","52,996","76,653","174,150",13.43,15.99,23.13,52.56,22,83,7.8
2001/2/17 07:00,"42,196","54,129","78,834","175,160",12.73,16.34,23.79,52.86,22,76,7.6
2001/2/17 08:00,"38,253","48,868","68,429","155,550",11.54,14.75,20.65,46.94,29,67,9.6
2001/2/17 09:00,"37,419","47,816","65,793","151,028",11.29,14.43,19.86,45.58,32,67,10.6
2001/2/17 10:00,"37,255","45,879","63,484","146,618",11.24,13.85,19.16,44.25,34,61,11
2001/2/17 11:00,"37,362","47,231","64,556","149,149",11.28,14.25,19.48,45.01,35,63,11.4
2001/2/17 12:00,"36,185","45,027","63,978","145,189",10.92,13.59,19.31,43.82,35,70,11.8
2001/2/17 13:00,"35,063","44,095","60,000","139,158",10.58,13.31,18.11,42,36,72,12.2
2001/2/17 14:00,"34,224","44,076","59,121","137,421",10.33,13.3,17.84,41.47,37,74,12.7
2001/2/17 15:00,"35,254","43,783","60,547","139,585",10.64,13.21,18.27,42.13,37,81,13.1
2001/2/17 16:00,"35,146","45,710","62,909","143,765",10.61,13.79,18.99,43.39,36,90,13.1
2001/2/17 17:00,"35,096","44,922","60,507","140,525",10.59,13.56,18.26,42.41,35,92,12.8
2001/2/17 18:00,"34,467","45,769","60,913","141,149",10.4,13.81,18.38,42.6,35,93,12.9
2001/2/17 19:00,"34,254","44,256","61,465","139,975",10.34,13.36,18.55,42.24,35,95,13
2001/2/17 20:00,"33,371","43,490","60,963","137,824",10.07,13.12,18.4,41.59,34,93,12.5
2001/2/17 21:00,"32,707","43,236","58,889","134,832",9.87,13.05,17.77,40.69,34,92,12.5
2001/2/17 22:00,"32,599","42,687","56,229","131,515",9.84,12.88,16.97,39.69,34,91,12.4
2001/2/17 23:00,"32,257","43,587","57,021","132,865",9.73,13.15,17.21,40.1,34,91,12.4
2001/3/17 00:00,"33,009","44,407","58,666","136,082",9.96,13.4,17.7,41.07,34,93,12.5
2001/3/17 01:00,"32,565","42,385","56,548","131,498",9.83,12.79,17.07,39.68,34,94,12.6
2001/3/17 02:00,"32,158","40,647","54,121","126,926",9.71,12.27,16.33,38.3,35,93,12.9
2001/3/17 03:00,"33,195","40,151","57,167","130,513",10.02,12.12,17.25,39.39,35,93,12.9
2001/3/17 04:00,"33,367","41,221","59,391","133,979",10.07,12.44,17.92,40.43,35,94,12.9
2001/3/17 05:00,"35,896","43,481","60,497","139,875",10.83,13.12,18.26,42.21,35,93,12.9
2001/3/17 06:00,"38,375","45,639","63,091","147,105",11.58,13.77,19.04,44.39,35,92,12.8
2001/3/17 07:00,"38,386","47,313","65,149","150,848",11.58,14.28,19.66,45.52,35,93,12.9
2001/3/17 08:00,"39,573","49,272","65,384","154,229",11.94,14.87,19.73,46.54,35,94,12.9
2001/3/17 09:00,"37,847","47,330","64,398","149,575",11.42,14.28,19.43,45.14,36,92,13.3
2001/3/17 10:00,"36,608","45,288","61,626","143,522",11.05,13.67,18.6,43.31,37,89,13.5
2001/3/17 11:00,"35,796","43,371","56,506","135,673",10.8,13.09,17.05,40.94,38,87,13.8
2001/3/17 12:00,"35,088","42,025","57,339","134,452",10.59,12.68,17.3,40.58,38,89,13.9
2001/3/17 13:00,"34,712","42,381","56,926","134,019",10.48,12.79,17.18,40.45,38,93,14.1
2001/3/17 14:00,"35,835","43,269","58,661","137,765",10.81,13.06,17.7,41.58,38,93,14.1
2001/3/17 15:00,"35,192","42,145","58,130","135,467",10.62,12.72,17.54,40.88,38,95,14.2
2001/3/17 16:00,"34,075","43,539","60,780","138,393",10.28,13.14,18.34,41.77,37,95,13.8
2001/3/17 17:00,"34,372","45,390","59,699","139,461",10.37,13.7,18.02,42.09,37,95,13.8
2001/3/17 18:00,"32,604","41,741","58,108","132,453",9.84,12.6,17.54,39.97,37,94,13.8
2001/3/17 19:00,"31,696","40,679","57,661","130,035",9.57,12.28,17.4,39.24,37,95,13.8
2001/3/17 20:00,"30,781","40,004","56,548","127,333",9.29,12.07,17.07,38.43,37,95,13.8
2001/3/17 21:00,"29,777","41,076","56,907","127,760",8.99,12.4,17.17,38.56,37,96,13.9
2001/3/17 22:00,"30,953","41,823","53,770","126,546",9.34,12.62,16.23,38.19,36,96,13.5
2001/3/17 23:00,"28,666","40,015","53,747","122,427",8.65,12.08,16.22,36.95,36,96,13.5
2001/4/17 00:00,"28,982","38,011","50,639","117,632",8.75,11.47,15.28,35.5,36,96,13.5
2001/4/17 01:00,"29,367","36,755","49,409","115,531",8.86,11.09,14.91,34.87,37,96,13.9
2001/4/17 02:00,"29,150","37,861","52,799","119,810",8.8,11.43,15.93,36.16,37,97,13.9
2001/4/17 03:00,"28,251","37,252","49,562","115,064",8.53,11.24,14.96,34.73,37,96,13.9
2001/4/17 04:00,"29,013","38,399","49,692","117,104",8.76,11.59,15,35.34,38,97,14.3
2001/4/17 05:00,"32,057","39,951","55,013","127,021",9.67,12.06,16.6,38.33,38,97,14.3
2001/4/17 06:00,"31,340","39,192","55,155","125,687",9.46,11.83,16.65,37.93,39,95,14.7
2001/4/17 07:00,"33,079","42,099","58,428","133,606",9.98,12.7,17.63,40.32,40,91,14.9
2001/4/17 08:00,"35,490","43,896","58,152","137,538",10.71,13.25,17.55,41.51,40,86,14.6
2001/4/17 09:00,"34,694","43,792","61,232","139,718",10.47,13.22,18.48,42.17,40,80,14.2
2001/4/17 10:00,"36,236","44,300","60,561","141,098",10.94,13.37,18.28,42.58,39,78,13.7
2001/4/17 11:00,"35,040","42,972","60,772","138,784",10.57,12.97,18.34,41.88,39,79,13.7
2001/4/17 12:00,"37,117","44,665","64,484","146,267",11.2,13.48,19.46,44.14,37,89,13.5
