# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.867, -72.850 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""40.866667"""," ""lon"": ""-72.85"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""12500"""," ""system_loss"": ""0.816"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
2019/1/1 05:00,2019/1/1 00:00,0,0,0,8.52,,,,,,,,,,,,,
2019/1/1 06:00,2019/1/1 01:00,0,0,0,9.011,,,,,,,,,,,,,
2019/1/1 07:00,2019/1/1 02:00,0,0,0,9.144,,,,,,,,,,,,,
2019/1/1 08:00,2019/1/1 03:00,0,0,0,9.379,,,,,,,,,,,,,
2019/1/1 09:00,2019/1/1 04:00,0,0,0,9.658,,,,,,,,,,,,,
2019/1/1 10:00,2019/1/1 05:00,0,0,0,10.084,,,,,,,,,,,,,
2019/1/1 11:00,2019/1/1 06:00,0,0,0,10.838,,,,,,,,,,,,,
2019/1/1 12:00,2019/1/1 07:00,14.261,0.004,0.011,11.054,,,,,,,,,,,,,
2019/1/1 13:00,2019/1/1 08:00,155.549,0.019,0.063,11.382,,,,,,,,,,,,,
2019/1/1 14:00,2019/1/1 09:00,239.326,0.02,0.097,11.538,,,,,,,,,,,,,
2019/1/1 15:00,2019/1/1 10:00,352.638,0.031,0.133,11.328,,,,,,,,,,,,,
2019/1/1 16:00,2019/1/1 11:00,613.761,0.095,0.178,10.769,,,,,,,,,,,,,
2019/1/1 17:00,2019/1/1 12:00,1240.795,0.398,0.154,9.78,,,,,,,,,,,,,
2019/1/1 18:00,2019/1/1 13:00,1424.716,0.537,0.101,8.889,,,,,,,,,,,,,
2019/1/1 19:00,2019/1/1 14:00,1155.8,0.43,0.078,8.245,,,,,,,,,,,,,
2019/1/1 20:00,2019/1/1 15:00,556.666,0.19,0.055,7.512,,,,,,,,,,,,,
2019/1/1 21:00,2019/1/1 16:00,12.86,0.009,0.006,6.56,,,,,,,,,,,,,
2019/1/1 22:00,2019/1/1 17:00,0,0,0,5.795,,,,,,,,,,,,,
2019/1/1 23:00,2019/1/1 18:00,0,0,0,5.2,,,,,,,,,,,,,
2019/1/2 00:00,2019/1/1 19:00,0,0,0,4.647,,,,,,,,,,,,,
2019/1/2 01:00,2019/1/1 20:00,0,0,0,4.156,,,,,,,,,,,,,
2019/1/2 02:00,2019/1/1 21:00,0,0,0,3.716,,,,,,,,,,,,,
2019/1/2 03:00,2019/1/1 22:00,0,0,0,3.266,,,,,,,,,,,,,
2019/1/2 04:00,2019/1/1 23:00,0,0,0,2.781,,,,,,,,,,,,,
