# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 40.867, -72.850 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "40.866667", "lon": "-72.85", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "capacity": "37000", "system_loss": "0.816", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2021-01-01 00:00,2020-12-31 19:00,0,0,0,3.964
2021-01-01 01:00,2020-12-31 20:00,0,0,0,3.717
2021-01-01 02:00,2020-12-31 21:00,0,0,0,3.351
2021-01-01 03:00,2020-12-31 22:00,0,0,0,2.782
2021-01-01 04:00,2020-12-31 23:00,0,0,0,2.373
2021-01-01 05:00,2021-01-01 00:00,0,0,0,2.095
2021-01-01 06:00,2021-01-01 01:00,0,0,0,1.895
2021-01-01 07:00,2021-01-01 02:00,0,0,0,1.571
2021-01-01 08:00,2021-01-01 03:00,0,0,0,1.388
2021-01-01 09:00,2021-01-01 04:00,0,0,0,1.268
2021-01-01 10:00,2021-01-01 05:00,0,0,0,1.152
2021-01-01 11:00,2021-01-01 06:00,0,0,0,1.078
2021-01-01 12:00,2021-01-01 07:00,385.811,0.051,0.017,1.295
2021-01-01 13:00,2021-01-01 08:00,2271.658,0.260,0.067,2.535
2021-01-01 14:00,2021-01-01 09:00,2172.543,0.188,0.126,3.125
2021-01-01 15:00,2021-01-01 10:00,2828.824,0.255,0.154,3.503
2021-01-01 16:00,2021-01-01 11:00,5400.506,0.726,0.095,4.040
2021-01-01 17:00,2021-01-01 12:00,4379.997,0.516,0.134,4.407
2021-01-01 18:00,2021-01-01 13:00,1116.583,0.039,0.130,4.342
2021-01-01 19:00,2021-01-01 14:00,833.533,0.029,0.102,4.329
2021-01-01 20:00,2021-01-01 15:00,199.410,0.006,0.036,4.077
2021-01-01 21:00,2021-01-01 16:00,0,0,0.001,3.852
2021-01-01 22:00,2021-01-01 17:00,0,0,0,4.118
2021-01-01 23:00,2021-01-01 18:00,0,0,0,4.433
2021-01-02 00:00,2021-01-01 19:00,0,0,0,4.753
2021-01-02 01:00,2021-01-01 20:00,0,0,0,5.028
2021-01-02 02:00,2021-01-01 21:00,0,0,0,5.441
2021-01-02 03:00,2021-01-01 22:00,0,0,0,5.919
2021-01-02 04:00,2021-01-01 23:00,0,0,0,6.477
2021-01-02 05:00,2021-01-02 00:00,0,0,0,7.053
2021-01-02 06:00,2021-01-02 01:00,0,0,0,7.378
2021-01-02 07:00,2021-01-02 02:00,0,0,0,7.523
2021-01-02 08:00,2021-01-02 03:00,0,0,0,7.241
2021-01-02 09:00,2021-01-02 04:00,0,0,0,7.057
2021-01-02 10:00,2021-01-02 05:00,0,0,0,6.818
2021-01-02 11:00,2021-01-02 06:00,0,0,0,6.765
2021-01-02 12:00,2021-01-02 07:00,0,0.001,0.004,6.233
2021-01-02 13:00,2021-01-02 08:00,565.733,0.030,0.064,5.957
2021-01-02 14:00,2021-01-02 09:00,3406.914,0.408,0.093,6.427
2021-01-02 15:00,2021-01-02 10:00,4823.705,0.655,0.081,7.483
2021-01-02 16:00,2021-01-02 11:00,5202.903,0.722,0.083,8.273
2021-01-02 17:00,2021-01-02 12:00,5036.519,0.691,0.086,8.541
2021-01-02 18:00,2021-01-02 13:00,4442.801,0.591,0.083,8.447
2021-01-02 19:00,2021-01-02 14:00,3379.813,0.429,0.073,8.191
2021-01-02 20:00,2021-01-02 15:00,1760.695,0.211,0.051,7.594
2021-01-02 21:00,2021-01-02 16:00,57.435,0.012,0.006,6.559
2021-01-02 22:00,2021-01-02 17:00,0,0,0,5.678
2021-01-02 23:00,2021-01-02 18:00,0,0,0,4.888
2021-01-03 00:00,2021-01-02 19:00,0,0,0,4.090
2021-01-03 01:00,2021-01-02 20:00,0,0,0,3.393
2021-01-03 02:00,2021-01-02 21:00,0,0,0,2.950
2021-01-03 03:00,2021-01-02 22:00,0,0,0,2.665
2021-01-03 04:00,2021-01-02 23:00,0,0,0,2.458
2021-01-03 05:00,2021-01-03 00:00,0,0,0,2.121
2021-01-03 06:00,2021-01-03 01:00,0,0,0,2.054
2021-01-03 07:00,2021-01-03 02:00,0,0,0,2.334
2021-01-03 08:00,2021-01-03 03:00,0,0,0,2.310
2021-01-03 09:00,2021-01-03 04:00,0,0,0,2.428
2021-01-03 10:00,2021-01-03 05:00,0,0,0,2.568
2021-01-03 11:00,2021-01-03 06:00,0,0,0,2.707
2021-01-03 12:00,2021-01-03 07:00,33.267,0.002,0.011,3.066
2021-01-03 13:00,2021-01-03 08:00,295.042,0.005,0.050,3.803
2021-01-03 14:00,2021-01-03 09:00,353.420,0.003,0.060,4.377
2021-01-03 15:00,2021-01-03 10:00,737.947,0.008,0.109,4.865
2021-01-03 16:00,2021-01-03 11:00,364.737,0.002,0.063,4.828
2021-01-03 17:00,2021-01-03 12:00,922.767,0.012,0.131,5.198
2021-01-03 18:00,2021-01-03 13:00,1070.154,0.023,0.141,5.699
2021-01-03 19:00,2021-01-03 14:00,603.308,0.011,0.089,5.947
2021-01-03 20:00,2021-01-03 15:00,140.390,0.002,0.030,5.841
2021-01-03 21:00,2021-01-03 16:00,0,0,0.002,5.504
