# Renewables.ninja Wind power (Point API) - 43.785, -75.575 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, electricity in kW, wind_speed in m/s,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""43.785278"""," ""lon"": ""-75.575278"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1650"""," ""height"": ""80"""," ""turbine"": ""Vestas V80 1800"""," ""raw"": true}}"
time,local_time,electricity,wind_speed,,,,,,,,,,,
2019/1/1 05:00,2019/1/1 00:00,1555.038,13.723,,,,,,,,,,,
2019/1/1 06:00,2019/1/1 01:00,1559.232,13.807,,,,,,,,,,,
2019/1/1 07:00,2019/1/1 02:00,1538.758,13.425,,,,,,,,,,,
2019/1/1 08:00,2019/1/1 03:00,1536.123,13.379,,,,,,,,,,,
2019/1/1 09:00,2019/1/1 04:00,1578.029,14.226,,,,,,,,,,,
2019/1/1 10:00,2019/1/1 05:00,1620.162,15.708,,,,,,,,,,,
2019/1/1 11:00,2019/1/1 06:00,1531.843,13.309,,,,,,,,,,,
2019/1/1 12:00,2019/1/1 07:00,1349.005,11.308,,,,,,,,,,,
2019/1/1 13:00,2019/1/1 08:00,1277.772,10.796,,,,,,,,,,,
2019/1/1 14:00,2019/1/1 09:00,1182.292,10.206,,,,,,,,,,,
2019/1/1 15:00,2019/1/1 10:00,1086.26,9.695,,,,,,,,,,,
2019/1/1 16:00,2019/1/1 11:00,952.798,9.054,,,,,,,,,,,
2019/1/1 17:00,2019/1/1 12:00,868.325,8.674,,,,,,,,,,,
2019/1/1 18:00,2019/1/1 13:00,834.288,8.525,,,,,,,,,,,
2019/1/1 19:00,2019/1/1 14:00,774.771,8.268,,,,,,,,,,,
2019/1/1 20:00,2019/1/1 15:00,697.335,7.933,,,,,,,,,,,
2019/1/1 21:00,2019/1/1 16:00,577.683,7.395,,,,,,,,,,,
2019/1/1 22:00,2019/1/1 17:00,489.872,6.998,,,,,,,,,,,
2019/1/1 23:00,2019/1/1 18:00,364.862,6.37,,,,,,,,,,,
2019/1/2 00:00,2019/1/1 19:00,233.888,5.621,,,,,,,,,,,
2019/1/2 01:00,2019/1/1 20:00,153.396,5.04,,,,,,,,,,,
2019/1/2 02:00,2019/1/1 21:00,75.537,4.31,,,,,,,,,,,
2019/1/2 03:00,2019/1/1 22:00,38.745,3.789,,,,,,,,,,,
2019/1/2 04:00,2019/1/1 23:00,30.186,3.618,,,,,,,,,,,
2019/1/2 05:00,2019/1/2 00:00,24.416,3.488,,,,,,,,,,,
2019/1/2 06:00,2019/1/2 01:00,12.563,3.146,,,,,,,,,,,
2019/1/2 07:00,2019/1/2 02:00,11.093,3.087,,,,,,,,,,,
2019/1/2 08:00,2019/1/2 03:00,12.163,3.13,,,,,,,,,,,
2019/1/2 09:00,2019/1/2 04:00,11.779,3.113,,,,,,,,,,,
2019/1/2 10:00,2019/1/2 05:00,8.708,2.971,,,,,,,,,,,
2019/1/2 11:00,2019/1/2 06:00,3.968,2.672,,,,,,,,,,,
2019/1/2 12:00,2019/1/2 07:00,2.516,2.518,,,,,,,,,,,
2019/1/2 13:00,2019/1/2 08:00,0.219,1.892,,,,,,,,,,,
2019/1/2 14:00,2019/1/2 09:00,0,1.063,,,,,,,,,,,
2019/1/2 15:00,2019/1/2 10:00,0,0.898,,,,,,,,,,,
2019/1/2 16:00,2019/1/2 11:00,0,0.945,,,,,,,,,,,
2019/1/2 17:00,2019/1/2 12:00,0.003,1.275,,,,,,,,,,,
2019/1/2 18:00,2019/1/2 13:00,0.034,1.555,,,,,,,,,,,
2019/1/2 19:00,2019/1/2 14:00,0.909,2.223,,,,,,,,,,,
2019/1/2 20:00,2019/1/2 15:00,3.046,2.573,,,,,,,,,,,
2019/1/2 21:00,2019/1/2 16:00,31.92,3.661,,,,,,,,,,,
2019/1/2 22:00,2019/1/2 17:00,118.889,4.756,,,,,,,,,,,
2019/1/2 23:00,2019/1/2 18:00,186.443,5.29,,,,,,,,,,,
2019/1/3 00:00,2019/1/2 19:00,282.546,5.921,,,,,,,,,,,
2019/1/3 01:00,2019/1/2 20:00,350.895,6.304,,,,,,,,,,,
2019/1/3 02:00,2019/1/2 21:00,590.306,7.461,,,,,,,,,,,
2019/1/3 03:00,2019/1/2 22:00,567.733,7.35,,,,,,,,,,,
2019/1/3 04:00,2019/1/2 23:00,335.297,6.218,,,,,,,,,,,
2019/1/3 05:00,2019/1/3 00:00,271.809,5.857,,,,,,,,,,,
2019/1/3 06:00,2019/1/3 01:00,257.086,5.767,,,,,,,,,,,
2019/1/3 07:00,2019/1/3 02:00,227.941,5.573,,,,,,,,,,,
2019/1/3 08:00,2019/1/3 03:00,123.31,4.787,,,,,,,,,,,
2019/1/3 09:00,2019/1/3 04:00,86.944,4.439,,,,,,,,,,,
2019/1/3 10:00,2019/1/3 05:00,197.128,5.375,,,,,,,,,,,
2019/1/3 11:00,2019/1/3 06:00,623.781,7.61,,,,,,,,,,,
2019/1/3 12:00,2019/1/3 07:00,423.707,6.673,,,,,,,,,,,
2019/1/3 13:00,2019/1/3 08:00,303.722,6.042,,,,,,,,,,,
2019/1/3 14:00,2019/1/3 09:00,222.948,5.541,,,,,,,,,,,
2019/1/3 15:00,2019/1/3 10:00,304.366,6.044,,,,,,,,,,,
2019/1/3 16:00,2019/1/3 11:00,399.298,6.557,,,,,,,,,,,
2019/1/3 17:00,2019/1/3 12:00,559.639,7.321,,,,,,,,,,,
2019/1/3 18:00,2019/1/3 13:00,694.741,7.916,,,,,,,,,,,
2019/1/3 19:00,2019/1/3 14:00,602.665,7.508,,,,,,,,,,,
2019/1/3 20:00,2019/1/3 15:00,470.697,6.909,,,,,,,,,,,
2019/1/3 21:00,2019/1/3 16:00,509.021,7.085,,,,,,,,,,,
2019/1/3 22:00,2019/1/3 17:00,513.353,7.109,,,,,,,,,,,
2019/1/3 23:00,2019/1/3 18:00,398.237,6.552,,,,,,,,,,,
2019/1/4 00:00,2019/1/3 19:00,357.539,6.337,,,,,,,,,,,
2019/1/4 01:00,2019/1/3 20:00,427.734,6.693,,,,,,,,,,,
2019/1/4 02:00,2019/1/3 21:00,471.089,6.91,,,,,,,,,,,
2019/1/4 03:00,2019/1/3 22:00,431.769,6.712,,,,,,,,,,,
2019/1/4 04:00,2019/1/3 23:00,478.747,6.939,,,,,,,,,,,
2019/1/4 05:00,2019/1/4 00:00,494.098,7.016,,,,,,,,,,,
2019/1/4 06:00,2019/1/4 01:00,466.331,6.884,,,,,,,,,,,
2019/1/4 07:00,2019/1/4 02:00,523.911,7.149,,,,,,,,,,,
2019/1/4 08:00,2019/1/4 03:00,587.82,7.443,,,,,,,,,,,
2019/1/4 09:00,2019/1/4 04:00,614.575,7.569,,,,,,,,,,,
2019/1/4 10:00,2019/1/4 05:00,616.355,7.574,,,,,,,,,,,
2019/1/4 11:00,2019/1/4 06:00,635.258,7.651,,,,,,,,,,,
2019/1/4 12:00,2019/1/4 07:00,504.94,7.07,,,,,,,,,,,
2019/1/4 13:00,2019/1/4 08:00,448.364,6.801,,,,,,,,,,,
2019/1/4 14:00,2019/1/4 09:00,489.86,6.997,,,,,,,,,,,
2019/1/4 15:00,2019/1/4 10:00,895.386,8.795,,,,,,,,,,,
2019/1/4 16:00,2019/1/4 11:00,1006.092,9.308,,,,,,,,,,,
2019/1/4 17:00,2019/1/4 12:00,961.732,9.101,,,,,,,,,,,
2019/1/4 18:00,2019/1/4 13:00,775.122,8.271,,,,,,,,,,,
2019/1/4 19:00,2019/1/4 14:00,495.273,7.025,,,,,,,,,,,
2019/1/4 20:00,2019/1/4 15:00,393.245,6.526,,,,,,,,,,,
2019/1/4 21:00,2019/1/4 16:00,628.228,7.621,,,,,,,,,,,
2019/1/4 22:00,2019/1/4 17:00,802.063,8.389,,,,,,,,,,,
2019/1/4 23:00,2019/1/4 18:00,779.679,8.291,,,,,,,,,,,
2019/1/5 00:00,2019/1/4 19:00,773.743,8.258,,,,,,,,,,,
2019/1/5 01:00,2019/1/4 20:00,707.029,7.975,,,,,,,,,,,
2019/1/5 02:00,2019/1/4 21:00,535.886,7.214,,,,,,,,,,,
2019/1/5 03:00,2019/1/4 22:00,369.56,6.403,,,,,,,,,,,
2019/1/5 04:00,2019/1/4 23:00,331.616,6.195,,,,,,,,,,,
2019/1/5 05:00,2019/1/5 00:00,240.056,5.661,,,,,,,,,,,
2019/1/5 06:00,2019/1/5 01:00,117.476,4.743,,,,,,,,,,,
2019/1/5 07:00,2019/1/5 02:00,76.978,4.327,,,,,,,,,,,
2019/1/5 08:00,2019/1/5 03:00,109.917,4.672,,,,,,,,,,,
2019/1/5 09:00,2019/1/5 04:00,133.823,4.878,,,,,,,,,,,
2019/1/5 10:00,2019/1/5 05:00,77.663,4.335,,,,,,,,,,,
2019/1/5 11:00,2019/1/5 06:00,31.284,3.639,,,,,,,,,,,
2019/1/5 12:00,2019/1/5 07:00,13.196,3.169,,,,,,,,,,,
2019/1/5 13:00,2019/1/5 08:00,12.601,3.147,,,,,,,,,,,
2019/1/5 14:00,2019/1/5 09:00,3.039,2.572,,,,,,,,,,,
2019/1/5 15:00,2019/1/5 10:00,8.905,2.985,,,,,,,,,,,
2019/1/5 16:00,2019/1/5 11:00,19.591,3.367,,,,,,,,,,,
2019/1/5 17:00,2019/1/5 12:00,35.474,3.726,,,,,,,,,,,
2019/1/5 18:00,2019/1/5 13:00,133.537,4.876,,,,,,,,,,,
2019/1/5 19:00,2019/1/5 14:00,245.68,5.693,,,,,,,,,,,
2019/1/5 20:00,2019/1/5 15:00,225.171,5.555,,,,,,,,,,,
2019/1/5 21:00,2019/1/5 16:00,269.751,5.844,,,,,,,,,,,
2019/1/5 22:00,2019/1/5 17:00,264.033,5.807,,,,,,,,,,,
2019/1/5 23:00,2019/1/5 18:00,229.845,5.595,,,,,,,,,,,
2019/1/6 00:00,2019/1/5 19:00,180.679,5.257,,,,,,,,,,,
2019/1/6 01:00,2019/1/5 20:00,164.076,5.132,,,,,,,,,,,
2019/1/6 02:00,2019/1/5 21:00,154.475,5.048,,,,,,,,,,,
2019/1/6 03:00,2019/1/5 22:00,177.13,5.231,,,,,,,,,,,
2019/1/6 04:00,2019/1/5 23:00,234.574,5.626,,,,,,,,,,,
2019/1/6 05:00,2019/1/6 00:00,218.328,5.519,,,,,,,,,,,
2019/1/6 06:00,2019/1/6 01:00,185.949,5.286,,,,,,,,,,,
2019/1/6 07:00,2019/1/6 02:00,255.257,5.756,,,,,,,,,,,
2019/1/6 08:00,2019/1/6 03:00,314.414,6.097,,,,,,,,,,,
2019/1/6 09:00,2019/1/6 04:00,351.856,6.309,,,,,,,,,,,
2019/1/6 10:00,2019/1/6 05:00,361.26,6.353,,,,,,,,,,,
2019/1/6 11:00,2019/1/6 06:00,427.785,6.698,,,,,,,,,,,
2019/1/6 12:00,2019/1/6 07:00,660.039,7.764,,,,,,,,,,,
2019/1/6 13:00,2019/1/6 08:00,795.421,8.356,,,,,,,,,,,
2019/1/6 14:00,2019/1/6 09:00,1086.26,9.695,,,,,,,,,,,
2019/1/6 15:00,2019/1/6 10:00,1232.455,10.507,,,,,,,,,,,
2019/1/6 16:00,2019/1/6 11:00,1242.451,10.569,,,,,,,,,,,
2019/1/6 17:00,2019/1/6 12:00,1237.41,10.538,,,,,,,,,,,
2019/1/6 18:00,2019/1/6 13:00,1251.19,10.617,,,,,,,,,,,
2019/1/6 19:00,2019/1/6 14:00,1256.979,10.653,,,,,,,,,,,
2019/1/6 20:00,2019/1/6 15:00,1236.868,10.535,,,,,,,,,,,
2019/1/6 21:00,2019/1/6 16:00,1165.482,10.119,,,,,,,,,,,
2019/1/6 22:00,2019/1/6 17:00,1110.174,9.821,,,,,,,,,,,
2019/1/6 23:00,2019/1/6 18:00,1046.019,9.491,,,,,,,,,,,
2019/1/7 00:00,2019/1/6 19:00,936.228,8.982,,,,,,,,,,,
2019/1/7 01:00,2019/1/6 20:00,801.907,8.388,,,,,,,,,,,
2019/1/7 02:00,2019/1/6 21:00,692.063,7.908,,,,,,,,,,,
2019/1/7 03:00,2019/1/6 22:00,570.506,7.366,,,,,,,,,,,
2019/1/7 04:00,2019/1/6 23:00,413.668,6.621,,,,,,,,,,,
2019/1/7 05:00,2019/1/7 00:00,296.171,6,,,,,,,,,,,
2019/1/7 06:00,2019/1/7 01:00,197.255,5.375,,,,,,,,,,,
2019/1/7 07:00,2019/1/7 02:00,147.977,5.005,,,,,,,,,,,
2019/1/7 08:00,2019/1/7 03:00,101.223,4.588,,,,,,,,,,,
2019/1/7 09:00,2019/1/7 04:00,74.253,4.286,,,,,,,,,,,
2019/1/7 10:00,2019/1/7 05:00,63.724,4.164,,,,,,,,,,,
2019/1/7 11:00,2019/1/7 06:00,43.279,3.863,,,,,,,,,,,
2019/1/7 12:00,2019/1/7 07:00,24.962,3.507,,,,,,,,,,,
2019/1/7 13:00,2019/1/7 08:00,13.636,3.185,,,,,,,,,,,
2019/1/7 14:00,2019/1/7 09:00,22.684,3.448,,,,,,,,,,,
2019/1/7 15:00,2019/1/7 10:00,28.907,3.598,,,,,,,,,,,
2019/1/7 16:00,2019/1/7 11:00,58.033,4.088,,,,,,,,,,,
2019/1/7 17:00,2019/1/7 12:00,133.097,4.872,,,,,,,,,,,
2019/1/7 18:00,2019/1/7 13:00,235.608,5.632,,,,,,,,,,,
2019/1/7 19:00,2019/1/7 14:00,292.049,5.967,,,,,,,,,,,
2019/1/7 20:00,2019/1/7 15:00,355.451,6.324,,,,,,,,,,,
2019/1/7 21:00,2019/1/7 16:00,521.42,7.139,,,,,,,,,,,
2019/1/7 22:00,2019/1/7 17:00,652.869,7.734,,,,,,,,,,,
2019/1/7 23:00,2019/1/7 18:00,840.001,8.548,,,,,,,,,,,
2019/1/8 00:00,2019/1/7 19:00,1064.505,9.591,,,,,,,,,,,
2019/1/8 01:00,2019/1/7 20:00,1219.701,10.425,,,,,,,,,,,
2019/1/8 02:00,2019/1/7 21:00,1294.756,10.905,,,,,,,,,,,
2019/1/8 03:00,2019/1/7 22:00,1441.026,12.136,,,,,,,,,,,
2019/1/8 04:00,2019/1/7 23:00,1552.968,13.683,,,,,,,,,,,
2019/1/8 05:00,2019/1/8 00:00,1564.233,13.905,,,,,,,,,,,
2019/1/8 06:00,2019/1/8 01:00,1575.343,14.156,,,,,,,,,,,
2019/1/8 07:00,2019/1/8 02:00,1588.176,14.491,,,,,,,,,,,
2019/1/8 08:00,2019/1/8 03:00,1558.416,13.791,,,,,,,,,,,
2019/1/8 09:00,2019/1/8 04:00,1486.452,12.648,,,,,,,,,,,
2019/1/8 10:00,2019/1/8 05:00,1377.691,11.541,,,,,,,,,,,
2019/1/8 11:00,2019/1/8 06:00,1231.966,10.505,,,,,,,,,,,
2019/1/8 12:00,2019/1/8 07:00,1049.524,9.509,,,,,,,,,,,
2019/1/8 13:00,2019/1/8 08:00,868.326,8.676,,,,,,,,,,,
2019/1/8 14:00,2019/1/8 09:00,571.028,7.367,,,,,,,,,,,
2019/1/8 15:00,2019/1/8 10:00,362.286,6.363,,,,,,,,,,,
2019/1/8 16:00,2019/1/8 11:00,249.385,5.713,,,,,,,,,,,
2019/1/8 17:00,2019/1/8 12:00,232.15,5.61,,,,,,,,,,,
2019/1/8 18:00,2019/1/8 13:00,193.883,5.352,,,,,,,,,,,
2019/1/8 19:00,2019/1/8 14:00,299.124,6.009,,,,,,,,,,,
2019/1/8 20:00,2019/1/8 15:00,378.421,6.443,,,,,,,,,,,
2019/1/8 21:00,2019/1/8 16:00,293.271,5.974,,,,,,,,,,,
2019/1/8 22:00,2019/1/8 17:00,232.41,5.612,,,,,,,,,,,
2019/1/8 23:00,2019/1/8 18:00,223.29,5.543,,,,,,,,,,,
2019/1/9 00:00,2019/1/8 19:00,261.909,5.788,,,,,,,,,,,
2019/1/9 01:00,2019/1/8 20:00,154.125,5.046,,,,,,,,,,,
2019/1/9 02:00,2019/1/8 21:00,38.225,3.78,,,,,,,,,,,
2019/1/9 03:00,2019/1/8 22:00,78.481,4.345,,,,,,,,,,,
2019/1/9 04:00,2019/1/8 23:00,13.701,3.187,,,,,,,,,,,
2019/1/9 05:00,2019/1/9 00:00,9.855,3.033,,,,,,,,,,,
2019/1/9 06:00,2019/1/9 01:00,27.871,3.576,,,,,,,,,,,
2019/1/9 07:00,2019/1/9 02:00,183.412,5.274,,,,,,,,,,,
2019/1/9 08:00,2019/1/9 03:00,284.566,5.933,,,,,,,,,,,
2019/1/9 09:00,2019/1/9 04:00,301.932,6.027,,,,,,,,,,,
2019/1/9 10:00,2019/1/9 05:00,365.49,6.382,,,,,,,,,,,
2019/1/9 11:00,2019/1/9 06:00,413.699,6.624,,,,,,,,,,,
2019/1/9 12:00,2019/1/9 07:00,456.313,6.831,,,,,,,,,,,
2019/1/9 13:00,2019/1/9 08:00,499.87,7.047,,,,,,,,,,,
2019/1/9 14:00,2019/1/9 09:00,537.793,7.223,,,,,,,,,,,
2019/1/9 15:00,2019/1/9 10:00,771.546,8.253,,,,,,,,,,,
2019/1/9 16:00,2019/1/9 11:00,1143.008,9.996,,,,,,,,,,,
2019/1/9 17:00,2019/1/9 12:00,1312.825,11.037,,,,,,,,,,,
2019/1/9 18:00,2019/1/9 13:00,1344.32,11.261,,,,,,,,,,,
2019/1/9 19:00,2019/1/9 14:00,1337.548,11.219,,,,,,,,,,,
2019/1/9 20:00,2019/1/9 15:00,1294.015,10.894,,,,,,,,,,,
2019/1/9 21:00,2019/1/9 16:00,1231.243,10.499,,,,,,,,,,,
2019/1/9 22:00,2019/1/9 17:00,1180.314,10.201,,,,,,,,,,,
2019/1/9 23:00,2019/1/9 18:00,1175.397,10.167,,,,,,,,,,,
2019/1/10 00:00,2019/1/9 19:00,1144.986,10.007,,,,,,,,,,,
2019/1/10 01:00,2019/1/9 20:00,1115.714,9.852,,,,,,,,,,,
2019/1/10 02:00,2019/1/9 21:00,1078.349,9.652,,,,,,,,,,,
2019/1/10 03:00,2019/1/9 22:00,1064.317,9.582,,,,,,,,,,,
2019/1/10 04:00,2019/1/9 23:00,1085.265,9.687,,,,,,,,,,,
2019/1/10 05:00,2019/1/10 00:00,1180.046,10.199,,,,,,,,,,,
2019/1/10 06:00,2019/1/10 01:00,1223.243,10.452,,,,,,,,,,,
2019/1/10 07:00,2019/1/10 02:00,1270.901,10.744,,,,,,,,,,,
2019/1/10 08:00,2019/1/10 03:00,1313.468,11.042,,,,,,,,,,,
2019/1/10 09:00,2019/1/10 04:00,1319.111,11.076,,,,,,,,,,,
2019/1/10 10:00,2019/1/10 05:00,1307.718,10.99,,,,,,,,,,,
