# Renewables.ninja Wind power (Point API) - 43.785, -75.575 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/New_York, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "43.785278", "lon": "-75.575278", "date_from": "2021-01-01", "date_to": "2021-12-31", "dataset": "merra2", "capacity": "322000", "height": "80", "turbine": "Vestas V80 1800", "raw": true}}
time,local_time,electricity,wind_speed
2021-01-01 00:00,2020-12-31 19:00,48676.415,5.717
2021-01-01 01:00,2020-12-31 20:00,30357.924,5.057
2021-01-01 02:00,2020-12-31 21:00,14824.472,4.315
2021-01-01 03:00,2020-12-31 22:00,6278.511,3.666
2021-01-01 04:00,2020-12-31 23:00,2106.012,3.075
2021-01-01 05:00,2021-01-01 00:00,267.576,2.327
2021-01-01 06:00,2021-01-01 01:00,12.774,1.667
2021-01-01 07:00,2021-01-01 02:00,2.898,1.449
2021-01-01 08:00,2021-01-01 03:00,2.576,1.428
2021-01-01 09:00,2021-01-01 04:00,13.222,1.674
2021-01-01 10:00,2021-01-01 05:00,457.751,2.495
2021-01-01 11:00,2021-01-01 06:00,3164.725,3.272
2021-01-01 12:00,2021-01-01 07:00,11831.498,4.117
2021-01-01 13:00,2021-01-01 08:00,17695.702,4.479
2021-01-01 14:00,2021-01-01 09:00,3467.953,3.320
2021-01-01 15:00,2021-01-01 10:00,288.667,2.349
2021-01-01 16:00,2021-01-01 11:00,175.037,2.217
2021-01-01 17:00,2021-01-01 12:00,1576.935,2.944
2021-01-01 18:00,2021-01-01 13:00,4150.154,3.418
2021-01-01 19:00,2021-01-01 14:00,6097.568,3.639
2021-01-01 20:00,2021-01-01 15:00,25805.261,4.867
2021-01-01 21:00,2021-01-01 16:00,54092.380,5.889
2021-01-01 22:00,2021-01-01 17:00,65578.666,6.222
2021-01-01 23:00,2021-01-01 18:00,59892.708,6.062
2021-01-02 00:00,2021-01-01 19:00,58301.739,6.008
2021-01-02 01:00,2021-01-01 20:00,59827.071,6.056
2021-01-02 02:00,2021-01-01 21:00,62727.021,6.143
2021-01-02 03:00,2021-01-01 22:00,79181.171,6.583
2021-01-02 04:00,2021-01-01 23:00,99332.364,7.083
2021-01-02 05:00,2021-01-02 00:00,130156.677,7.800
2021-01-02 06:00,2021-01-02 01:00,155226.564,8.354
2021-01-02 07:00,2021-01-02 02:00,135782.541,7.918
2021-01-02 08:00,2021-01-02 03:00,85835.229,6.750
2021-01-02 09:00,2021-01-02 04:00,58447.536,6.011
2021-01-02 10:00,2021-01-02 05:00,58467.649,6.019
2021-01-02 11:00,2021-01-02 06:00,27726.316,4.957
2021-01-02 12:00,2021-01-02 07:00,45717.316,5.624
2021-01-02 13:00,2021-01-02 08:00,62819.319,6.146
2021-01-02 14:00,2021-01-02 09:00,159251.444,8.450
2021-01-02 15:00,2021-01-02 10:00,191851.404,9.190
2021-01-02 16:00,2021-01-02 11:00,159500.933,8.456
2021-01-02 17:00,2021-01-02 12:00,117763.981,7.510
2021-01-02 18:00,2021-01-02 13:00,83068.474,6.685
2021-01-02 19:00,2021-01-02 14:00,59821.467,6.054
2021-01-02 20:00,2021-01-02 15:00,39750.884,5.420
2021-01-02 21:00,2021-01-02 16:00,41464.056,5.480
2021-01-02 22:00,2021-01-02 17:00,48945.445,5.728
2021-01-02 23:00,2021-01-02 18:00,33701.346,5.194
2021-01-03 00:00,2021-01-02 19:00,20736.995,4.628
2021-01-03 01:00,2021-01-02 20:00,18080.880,4.500
2021-01-03 02:00,2021-01-02 21:00,9724.013,3.961
2021-01-03 03:00,2021-01-02 22:00,2144.256,3.083
2021-01-03 04:00,2021-01-02 23:00,447.073,2.482
2021-01-03 05:00,2021-01-03 00:00,2634.428,3.180
2021-01-03 06:00,2021-01-03 01:00,20842.029,4.633
2021-01-03 07:00,2021-01-03 02:00,47152.644,5.671
2021-01-03 08:00,2021-01-03 03:00,44479.149,5.573
2021-01-03 09:00,2021-01-03 04:00,34889.098,5.243
2021-01-03 10:00,2021-01-03 05:00,44698.352,5.588
2021-01-03 11:00,2021-01-03 06:00,54816.211,5.911
2021-01-03 12:00,2021-01-03 07:00,57985.968,6.003
2021-01-03 13:00,2021-01-03 08:00,52660.833,5.845
2021-01-03 14:00,2021-01-03 09:00,31853.196,5.126
2021-01-03 15:00,2021-01-03 10:00,33090.161,5.174
2021-01-03 16:00,2021-01-03 11:00,62732.422,6.144
2021-01-03 17:00,2021-01-03 12:00,81774.804,6.656
2021-01-03 18:00,2021-01-03 13:00,63375.135,6.161
2021-01-03 19:00,2021-01-03 14:00,39128.014,5.398
2021-01-03 20:00,2021-01-03 15:00,31381.722,5.107
2021-01-03 21:00,2021-01-03 16:00,41576.277,5.484
2021-01-03 22:00,2021-01-03 17:00,49585.690,5.749
2021-01-03 23:00,2021-01-03 18:00,44696.055,5.587
2021-01-04 00:00,2021-01-03 19:00,37074.121,5.315
2021-01-04 01:00,2021-01-03 20:00,54701.913,5.907
2021-01-04 02:00,2021-01-03 21:00,63236.087,6.158
2021-01-04 03:00,2021-01-03 22:00,55427.017,5.929
2021-01-04 04:00,2021-01-03 23:00,42719.160,5.522
2021-01-04 05:00,2021-01-04 00:00,28477.694,4.989
2021-01-04 06:00,2021-01-04 01:00,15032.683,4.328
2021-01-04 07:00,2021-01-04 02:00,4765.036,3.488
2021-01-04 08:00,2021-01-04 03:00,448.750,2.487
2021-01-04 09:00,2021-01-04 04:00,66.438,1.986
2021-01-04 10:00,2021-01-04 05:00,262.951,2.322
2021-01-04 11:00,2021-01-04 06:00,381.847,2.439
2021-01-04 12:00,2021-01-04 07:00,41.643,1.882
