,reduced_states
0,-0.36378340503861506
1,-0.34702633412158856
2,-0.353808254879204
3,-0.38837645927754544
4,-0.44266779383018495
5,-0.5048139101757657
6,-0.5913285608036727
7,-0.6896858749244168
8,-0.7858253431507323
9,-0.8848147176317439
10,-0.9841566010161776
11,-1.0837853817124241
12,-1.200326281727449
13,-1.2941923416675816
14,-1.3853489250703157
15,-1.4814986905390304
16,-1.570325121197888
17,-1.79883961131932
18,-1.8532878747416763
19,-1.8854481384919561
20,-1.6988169701511577
21,-1.4125288290146276
22,-1.1635955588230236
23,-0.9740844933825386
24,-0.850526123333046
25,-0.7784057887161062
26,-0.7656912413515456
27,-0.7806544541637309
28,-0.8078288857769075
29,-0.8453342080970188
30,-0.904888664626755
31,-0.968183911530707
32,-1.0344720920469346
33,-1.093567481329794
34,-1.1466601106646623
35,-1.2036950109820104
36,-1.2664904512333008
37,-1.322967083486984
38,-1.3784266229130515
39,-1.4226983334619203
40,-1.4598672544045361
41,-1.4940284170662157
42,-1.626626993257726
43,-1.6950631793961077
44,-1.697824470942569
45,-1.6868870425118474
46,-1.655686003071574
47,-1.615328658640504
48,-1.5421925704774113
49,-1.479609397143962
50,-1.4402329331472732
51,-1.4172905696483702
52,-1.4056771119333353
53,-1.411564224307171
54,-1.4264805250257733
55,-1.4467365901560982
56,-1.4736390741782897
57,-1.495155781535143
58,-1.5186716661269586
59,-1.5456841350997088
60,-1.5677075367367879
61,-1.56537391852315
62,-1.5568574947747384
63,-1.5346675624319333
64,-1.515619006436965
65,-1.4878745903694632
66,-1.4750029330257903
67,-1.477710402869009
68,-1.4992119210601758
69,-1.515933972358767
70,-1.543992925147976
71,-1.5478749755561263
72,-1.5478885763436192
73,-1.555374679178601
74,-1.5736637878179776
75,-1.5879892774998727
76,-1.605372056910643
77,-1.6255561579804565
78,-1.6517400520010816
79,-1.679069927537119
80,-1.7117345793184857
81,-1.7433459740834993
82,-1.7710150747523805
83,-1.794240749347572
84,-1.8020133179006688
85,-1.789805030293805
86,-1.7680088261747584
87,-1.711955323315814
88,-1.6456247806086748
89,-1.5757956864000435
90,-1.5184666943685026
91,-1.474727692305475
92,-1.3983070993138491
93,-1.3270291247752553
94,-1.26744450163292
95,-1.2007479850675853
96,-1.1378697981274342
97,-1.0978878527618037
98,-1.0725521065541108
99,-1.0479039986958003
100,-1.0306587645687195
101,-1.0229077725813076
102,-1.0184273328121305
103,-1.0243233972178667
104,-1.0354511746903983
105,-1.0590098106775125
106,-1.082140949518153
107,-1.1166438329013695
108,-1.142771378403958
109,-1.1818023661453
110,-1.2010662307029027
111,-1.2175553053982904
112,-1.2257341738326624
113,-1.2382362472927542
114,-1.2716904338513444
115,-1.286577622718244
116,-1.2914933174075796
117,-1.307471784498932
118,-1.31448471375589
119,-1.3138483631963742
120,-1.3154945693329223
121,-1.328510656683368
122,-1.3367763165341602
123,-1.357193359619399
124,-1.3753833093176582
125,-1.398655192937364
126,-1.4278798592222413
127,-1.4509366715866234
128,-1.4683305340835273
129,-1.4820265693462484
130,-1.4932486762740946
131,-1.4678620403848226
132,-1.437550478170732
133,-1.4125268650134875
134,-1.3908822435490895
135,-1.3745463113029344
136,-1.3670801217553206
137,-1.3642441029220491
138,-1.3657738591925215
139,-1.366593269688687
140,-1.3579238392445379
141,-1.3407418570164011
142,-1.3214929006328802
143,-1.3044914674975843
144,-1.29511094363668
145,-1.2866583428437388
146,-1.2915220188323677
147,-1.2887665417519443
148,-1.2897703278057857
149,-1.2968797558477636
150,-1.3055879216675805
151,-1.317554339024283
152,-1.3313121810145763
153,-1.3601502821516527
154,-1.366305083256603
155,-1.3585605622120043
156,-1.3477367207270172
157,-1.3226057161883422
158,-1.3017219380344243
159,-1.283676548384092
160,-1.2710607953865691
161,-1.2631060096511808
162,-1.2617385710461533
163,-1.260129303796292
164,-1.2544797338063094
165,-1.24668538264157
166,-1.2428305068833743
167,-1.2411429349180554
168,-1.2367162077867986
169,-1.237971868721624
170,-1.2443686188635412
171,-1.2503962895392509
172,-1.2579294863535722
173,-1.270412784948901
174,-1.2838215006990195
