,reduced_states
0,-0.16001258298586163
1,0.4662122434613397
2,0.9494587141894175
3,1.9306530206337909
4,2.4474217777820666
5,1.051964232665797
6,-0.6069397875310265
7,-0.4608306080959392
8,-0.12518643635377893
9,-1.6470679816937785
10,-0.011904708668260053
11,-0.09272243631404314
12,3.816687838632181
13,3.244715276169246
14,1.259953356608525
15,0.34888041950440035
16,-0.18288794250826254
17,-0.5544420398638048
18,-1.044594832384802
19,-0.5701858205155013
20,-0.4801859973670841
21,-1.3030332756812417
22,-1.322650318393809
23,-1.2160377245036962
24,-1.5417425620916736
25,-1.6203630540994705
26,-1.564649801792939
27,-1.4889877810503962
28,-0.8785148631782034
29,-0.26877427613811866
30,-0.8669549001327761
31,-1.0095988868624586
32,-0.4190258129655555
33,-0.2886936348787154
34,-0.32958394779650707
35,-0.5679749369167845
36,-1.2396377269783794
37,-0.7213125899434674
38,0.28998433767165294
39,0.39829282172980696
40,-0.6827133758420384
41,-1.0778373325473862
42,-0.900425639327279
43,-0.4596868979985394
44,-0.43900677901712537
45,-0.7792264359939094
46,-0.9153727064438314
47,-0.04435307184001819
48,-0.17972400311034428
49,-0.5909433941003348
50,-0.8634548985427256
51,-1.1589281662465
52,-1.4043368062939101
53,-1.55999188111405
54,-1.5690302674485257
55,-1.552958960245261
56,-1.5643613504142417
57,-1.5682687549470475
58,-1.5815422869242233
59,-1.5733409098740778
60,-1.5721292799009121
61,-1.5699562175893942
62,-1.568625738209393
63,-1.567259666706052
64,-1.563755533729135
65,-1.559338086393291
66,-1.552068686623729
67,-1.5104264185151006
68,-1.42081459981075
69,-1.4064045460199726
70,-1.4859907514444624
71,-1.5504201056741092
72,-1.5591948201798234
73,-1.55874984296946
74,-1.5590875363258443
75,-1.5615968689953676
76,-1.5612459334530697
77,-1.5475150777493654
78,-1.4993749481727845
79,-1.4453351025722962
80,-1.4173796478061254
81,-1.3650339105389089
82,-1.3849321824656846
83,-1.5279054956740572
84,-1.5873095316417194
85,-1.5511475058598316
86,-1.5573160811283262
87,-1.5567386484799641
88,-1.4699563482108342
89,-1.2038632406207395
90,-1.0550772760962395
91,-0.8406364496556098
92,-0.4939360552693002
93,-0.6196630506861199
94,-0.6772362416659504
95,-0.7709799004283251
96,-0.8994314487872573
97,-1.0106919204005755
98,-1.0211916790287543
99,-1.0702811387598252
100,-1.121542714960979
101,-0.9934011108180578
102,-1.0014366855648595
103,-0.9365119937248589
104,-0.8418381266434362
105,-0.6367847160513813
106,-0.9021610597965357
107,-0.8092512379976367
108,-0.4925700800746582
109,-0.292147370501595
110,-0.4681705032012195
111,-0.2941803991603807
112,-0.1932143294096496
113,-0.29883201261069214
114,-0.16957166762648365
115,0.09808603099474594
116,0.060802263797093754
117,-0.23428359829416656
118,-0.3960111576600214
119,-0.26595362708860654
120,0.053211149085672295
121,-0.07425597886778246
122,-0.11728886374173732
123,-0.22109738820990765
124,-0.445491984008384
125,-0.709243863571398
126,-0.6004254351985816
127,-0.5794608449596848
128,-0.4078800330132665
129,-0.2669463036939451
130,-0.28942334786337537
131,-0.5546448490316022
132,-0.6224184865883978
133,-0.9797648321386423
134,-1.1562791215608097
135,-1.1211862098906795
