,reduced_states
0,-1.6488841432509456
1,-1.3344526194641788
2,-1.0217686269193977
3,-0.7089608479791489
4,-0.4627791645278618
5,-0.27223009686860267
6,-0.1652252239772697
7,-0.08508250704650532
8,-0.05008554319835853
9,-0.05721916793643955
10,-0.1267553012420003
11,-0.24083488451718674
12,-0.4678144778520642
13,-0.6624797518071981
14,-0.9024676671423378
15,-1.2058122224553736
16,-1.5280659916096369
17,-2.452866595600527
18,-2.697495171185635
19,-2.8246480516062014
20,-2.8534604020878183
21,-2.8754025371709884
22,-2.9172434950104136
23,-2.8187138109462957
24,-2.611672962389995
25,-2.305827334441494
26,-2.0029237576108243
27,-1.7075144664901485
28,-1.415427180365663
29,-1.1625918766405172
30,-0.990453093348561
31,-0.850446637580564
32,-0.7689479249761983
33,-0.729737339624923
34,-0.7384458204049039
35,-0.7857329131028474
36,-0.87360327257334
37,-0.9875712490251123
38,-1.1382012093585796
39,-1.3042818529497455
40,-1.503920615078824
41,-1.7026389892192764
42,-2.350140482196712
43,-2.7091917389438254
44,-2.7616521319424145
45,-2.727768783795172
46,-2.6774951252200134
47,-2.6135349559435124
48,-2.542264215037967
49,-2.486995880347305
50,-2.4216794748120947
51,-2.3346083961024795
52,-2.232407018621893
53,-2.140164370364228
54,-2.0721722051906752
55,-2.0258553966315
56,-2.000168651119087
57,-1.9710509484294947
58,-1.959655124750094
59,-1.9835135572595373
60,-2.0139478748661688
61,-2.065874979367035
62,-2.1314083213211066
63,-2.17862362255945
64,-2.230893604705412
65,-2.240913051066615
66,-2.2444610111427483
67,-2.245273867203599
68,-2.2763761041709567
69,-2.2811484330333145
70,-2.332779461583613
71,-2.3179141388122537
72,-2.268754796297988
73,-2.2379896749989734
74,-2.2107809801219496
75,-2.179634659762578
76,-2.1745065930442347
77,-2.183595470930674
78,-2.193448647569953
79,-2.2232328458184853
80,-2.2587398353339228
81,-2.311539558329446
82,-2.3755758891705
83,-2.4939029266481625
84,-2.5747656921442035
85,-2.654622950920875
86,-2.7103901278305225
87,-2.7533543639919555
88,-2.747922119123647
89,-2.7244643279306326
90,-2.674956335466005
91,-2.6136300603586524
92,-2.530521884694421
93,-2.447648806435158
94,-2.337739344834253
95,-2.206825980229637
96,-2.055171878790766
97,-1.9268184099046088
98,-1.7920284488261764
99,-1.6519939911657469
100,-1.5158812180736079
101,-1.4158325841475499
102,-1.3154433538065395
103,-1.2513354763262836
104,-1.2112666275240231
105,-1.2105465148888443
106,-1.2099268275946222
107,-1.2559207391287535
108,-1.2925057630710848
109,-1.397424981599087
110,-1.4528959056597952
111,-1.5150889952454905
112,-1.5549958750826944
113,-1.5956420197590198
114,-1.7176909544515508
115,-1.7610239786649984
116,-1.7729026787251803
117,-1.8304699395941588
118,-1.8535604661517164
119,-1.849740577309754
120,-1.847255877263941
121,-1.8631189904446082
122,-1.8602223873322719
123,-1.8653864323467488
124,-1.8668956582615486
125,-1.8719053507398478
126,-1.8880174314569098
127,-1.9011478461864526
128,-1.9253000205654691
129,-1.96037835178201
130,-2.006067892900483
131,-2.0512305791502334
132,-2.0970855961658956
133,-2.138062902979176
134,-2.151237875738744
135,-2.1377424582109508
136,-2.123567916428677
137,-2.096342079681243
138,-2.0721829472239754
139,-2.0458628381687527
140,-2.0184137418668566
141,-1.9950857927005703
142,-1.9680972358143987
143,-1.9287007654154527
144,-1.8964553207508157
145,-1.8430923987029733
146,-1.811604622203559
147,-1.7750946055990666
148,-1.7450819655801264
149,-1.7443809226896843
150,-1.7525263180250916
151,-1.7638326968498388
152,-1.7818438673754697
153,-1.8651555135714148
154,-1.8896217567235043
155,-1.8961812324698244
156,-1.9084731743434837
157,-1.910526309770389
158,-1.9086047254427339
159,-1.9016912684694725
160,-1.888738944317508
161,-1.876503837691354
162,-1.875857328859971
163,-1.8723312971239465
164,-1.851523372109848
165,-1.8214916460826953
166,-1.7924240512469782
167,-1.7610893506317895
168,-1.7268796798472419
169,-1.7211356764344607
170,-1.7016775242398487
171,-1.6899182023321178
172,-1.682413550851884
173,-1.676298003481688
174,-1.680331726167004
175,-1.6936184809423498
176,-1.7248910725149678
