,reduced_states
0,-0.5219517832446221
1,-0.8791580494599801
2,-0.7499414977692377
3,-0.7416839840807231
4,-0.20088612776232545
5,-0.4104660087982855
6,-0.43668641978666345
7,-0.6213315732566701
8,-0.7363868520344681
9,-0.7584367371774648
10,-0.29322132512465904
11,-0.5720709637772846
12,-0.5967223828824295
13,-0.1675097903428996
14,-0.34237272410777353
15,3.6919092803220863
16,0.3673848518078307
17,0.019747536925239
18,-0.4653705291741599
19,-0.6178027411388758
20,-0.5299507064472402
21,-0.5668543629306259
22,-0.4466054289999568
23,-0.7143004217610504
24,-0.46176413582535886
25,-0.40834534414710916
26,-0.636207745830707
27,-0.8262160025856237
28,-0.7476696447191155
29,-0.6297519972691162
30,-0.5410636888022995
31,-0.6407026945654122
32,-0.5373270564879953
33,-0.6374209460956554
34,-0.5723927525134979
35,-0.7221652640537214
36,-0.712636085200695
37,-0.6419889766723867
38,-0.6307360924213185
39,-0.6932410977725167
40,2.7617441494439894
41,1.3936001153215891
42,0.14289142915676714
43,-0.4090475287251051
44,-0.5722151333498432
45,-0.7725815289515114
46,-0.7391817838610801
47,-0.7069801004314308
48,-0.6110179142031076
49,-0.7406778826123047
50,-0.5965192279280706
51,-0.8109629058763591
52,-0.7538461741379228
53,-0.47581279178696795
54,-0.6605054887019374
55,-0.6402380692000781
56,-0.7200002325510475
57,-0.4387283677210333
58,-0.4152380735171994
59,-0.5166312784658053
60,-0.3658682538035745
61,-0.3995370237084375
62,-0.22984915954152768
63,-0.5390114836300608
64,-0.5205846426966175
65,-0.4877082142895087
66,-0.19692297715019577
67,-0.5209939908429793
68,0.012086377395361388
69,-0.26591987221347413
70,-0.7565901832116525
71,-0.5714266966378176
72,-0.7071863180810503
73,-0.6686932840575244
74,-0.7139025225828043
75,-0.7140250944581431
76,-0.5531394616694985
77,-0.5158252039196934
78,-0.5283854196383057
79,-0.7016752206783377
80,-0.40355771587722994
81,-0.2365168585684313
82,-0.5614032745139105
83,-0.19172864068875287
84,-0.39621237985490915
85,-0.33296835650508544
86,-0.7198641552589068
87,-0.5428018459997618
88,-0.6685959155033396
89,-0.6676619381051182
90,-0.6758078478602846
91,-0.5839452126132183
