,reduced_states
0,-0.610789859495464
1,-0.8620339723640106
2,-0.562287948474642
3,-0.7320269456591924
4,-0.43852922826999774
5,-0.4627969591251004
6,-0.608346148536771
7,-0.6919231539960257
8,-0.5587238317276431
9,-0.6925787654329559
10,-0.1051189206471902
11,-0.644880840480087
12,-0.41372807287776975
13,-0.5109736818689954
14,-0.35207555448137584
15,3.7484609406068694
16,0.3503949320817087
17,0.17751707841618372
18,-0.6070581225901049
19,-0.7092334847290385
20,-0.3944315059039317
21,-0.46151077317524647
22,-0.41633308176586487
23,-0.7494144616953151
24,-0.677426441147482
25,-0.5350176640349555
26,-0.6313114610333008
27,-0.857705562787341
28,-0.5833088909516833
29,-0.7995394008890705
30,-0.763236548989326
31,-0.7979671836552783
32,-0.6648053834037888
33,-0.7426221737773275
34,-0.7115501396108772
35,-0.5699452971958057
36,-0.46136780410782025
37,-0.6251538705715273
38,-0.48384464830253765
39,-0.7361885307263999
40,2.6398444752595243
41,1.4216633863652286
42,-0.14304905046397737
43,-0.34605926191829917
44,-0.46459702231871464
45,-0.6452904868180205
46,-0.7762995973790071
47,-0.7327720584422827
48,-0.5806879631014463
49,-0.6112793022491456
50,-0.7710815271694158
51,-0.647601849195287
52,-0.5841526040912582
53,-0.47140225382634043
54,-0.5448053578815221
55,-0.77374896295704
56,-0.7517374299712224
57,-0.4862540198848073
58,-0.6059567557493125
59,-0.5819468482288213
60,-0.31111694699261855
61,-0.6289785005532412
62,-0.545261582203773
63,-0.6404246376108068
64,-0.6013198395708254
65,-0.461301670544067
66,-0.11478162635234251
67,-0.4745263380911498
68,0.15072083225940608
69,-0.2069205430782261
70,-0.6903328216220757
71,-0.6955583872189368
72,-0.6900155203259126
73,-0.6570908833382715
74,-0.5913642846910478
75,-0.5304924953457534
76,-0.5285098432570328
77,-0.4954089418134736
78,-0.4796814172217073
79,-0.5559330311019309
80,-0.456092890922619
81,-0.08085802802954162
82,-0.41531233656091143
83,-0.4826317872598588
84,-0.5749713582249645
85,-0.3996336077900563
86,-0.6305702097949711
87,-0.5077522571102008
88,-0.6747082913430124
89,-0.5846530781870729
90,-0.4874145119823903
91,-0.38150024930546916
92,-0.6943525863078321
93,-0.54966090979252
94,-0.7860534167363203
95,-0.44907397227671514
96,-0.6882508772588511
97,-0.6510079856879603
98,-0.664558946913447
99,-0.5995833690004592
100,-0.6422259881432676
101,-0.5371626635231895
102,-0.5014450817785182
103,-0.29300135532837596
104,-0.4340509269472091
105,-0.4059267968029099
106,-0.41308474368200376
107,0.11615383299650661
108,-0.39391260665010913
109,-0.3123615276783238
110,-0.5191571500562064
111,-0.5389391174323628
112,0.3548477225728194
113,-0.2943649506649329
114,-0.33256945783729264
115,-0.1918953336092494
116,-0.2576522819797108
117,-0.563494281454694
118,-0.5008397111377129
119,-0.16801134628439537
120,-0.6036226946489816
121,-0.4998835175698898
