,reduced_states
0,-2.3586275263603884
1,-2.30149677973468
2,-2.2194829873165896
3,-2.1992393041564404
4,-2.195509684100568
5,-2.1988732795317145
6,-2.211454631020319
7,-2.2510469865712883
8,-2.2958843504526185
9,-2.1519300044048517
10,-1.886690901115581
11,-1.5144884534904959
12,-1.15239433222426
13,-0.8956833247724806
14,-0.5535967958930971
15,-0.36940887253386046
16,-0.20979063942534792
17,0.05915111658492548
18,0.5167245637947054
19,1.162923857677726
20,1.5665486270281401
21,1.7207540545339393
22,1.5735857002659401
23,1.1816647849513384
24,0.4720617465824082
25,-0.1687310548914965
26,-0.6468071875582434
27,-0.11615248725546927
28,0.6798487908723914
29,1.4830280329507235
30,2.054414986735228
31,2.3115711364837006
32,2.341171530061615
33,1.5317654186555558
34,0.6548597060822173
35,-0.10968862153740405
36,-0.575098984165655
37,-0.9653222820371102
38,-1.2031034298225993
39,-1.4034049011155219
40,-1.607706991633074
41,-1.884710329457795
42,-2.068831593296334
43,-2.0885619653598377
44,-1.9753933858125605
45,-1.7343318860829477
46,-1.5455454930749764
47,-1.2805764821533039
48,-0.9500125716144115
49,-0.7555241083946144
50,-0.6896556282980669
51,-0.8012385025945906
52,-0.8368604496717315
53,-0.7897631886980774
54,-0.6593414948149657
55,-0.6219246989292087
56,-0.6588140014117325
57,-0.614949609496763
58,-0.5843040682192432
59,-0.6436729616721674
60,-0.8939952988593565
61,-1.0542537140737285
62,-1.0391291929410487
63,-0.9030786847766782
64,-0.8217598594992073
65,-0.8977067666476243
66,-0.9369075794633593
67,-1.028953537152166
68,-1.2542338647891875
69,-1.6008986385064832
70,-1.886305876396924
71,-2.082574409393048
72,-2.265257705072193
73,-2.344724015773321
74,-2.3720127945554985
75,-2.3740641972961023
76,-2.374567951831162
77,-2.37628541472866
78,-2.3786266350199536
79,-2.378420796947364
80,-2.377199865331328
81,-2.37406464241221
82,-2.365550849459606
83,-2.34076633629778
84,-2.295391472691149
85,-2.2580790467296175
86,-2.2454734626771042
87,-2.243826916096406
88,-2.2530984404290333
89,-2.2799495519687474
90,-2.325709834316327
91,-2.3610857594932577
92,-2.3699300252944284
93,-2.3628257383545517
94,-2.3326802902713015
95,-2.30030569689979
96,-2.2425884917407237
97,-2.196906499869718
98,-2.1650256332227453
99,-2.17071301708586
100,-2.202601776325167
101,-2.2369872789797167
102,-2.294940584778898
103,-2.323236625365014
104,-2.281276292460654
105,-2.176643098715921
106,-1.9724612095035226
107,-1.6829345344190985
108,-1.3844242502338089
109,-1.1884771120477036
110,-1.0601065707099804
111,-0.9676916211813794
112,-1.021646297794026
113,-1.166557698543154
114,-1.2974846445049195
115,-1.3765518989571475
116,-1.4335686908947527
117,-1.4756826112705148
118,-1.4867187672856024
119,-1.4183951152078025
120,-1.3553245089631383
121,-1.240568554821912
122,-1.1820403020180303
123,-1.0926544362372712
124,-0.9794710827684593
125,-0.8770426859247781
126,-0.7607777659762391
127,-0.6670702062259316
128,-0.4933446475820216
129,-0.36230118124161287
130,-0.2885034953898881
131,-0.1305063735445975
132,-0.07565623985144743
133,-0.09527052453661407
134,-0.19152154729244922
135,-0.1880860147212647
136,-0.19207689821403875
137,-0.32216881302931993
138,-0.32093998246731104
139,-0.2536328160474019
140,-0.31714470670188527
141,-0.44145112760457966
142,-0.49561485719646486
143,-0.5662869878843796
144,-0.5935343446811493
145,-0.636622952354624
146,-0.5799852220660672
147,-0.6003544849385446
148,-0.6753061429032456
149,-0.8370434829055333
150,-1.0804311792742065
151,-1.2707164121346903
152,-1.3848958111308005
153,-1.4857497690152908
154,-1.461193980655307
155,-1.2887061127048427
156,-1.0741809873735788
157,-0.9125296638920198
158,-0.7761909986457631
159,-0.6382051278577933
160,-0.6253893200242951
161,-0.7084376421623425
162,-0.8287252198234225
163,-0.9250292673686611
164,-1.0397220896483537
165,-1.0838348024231579
166,-1.062071925278583
167,-1.0950485622331418
168,-1.0939081349953872
169,-1.1503253935227826
170,-1.2350430698967216
171,-1.4351868793285132
172,-1.6794426208904454
173,-1.8387227134870934
174,-2.0071007563967203
175,-2.069428274384486
176,-2.0731953912585688
177,-2.0102597490210155
178,-1.8576813612679057
179,-1.560186224512794
180,-1.1486132560621845
181,-0.773547246762443
182,-0.560382258346117
183,-0.40558437120195484
184,-0.2985561604172777
185,-0.39867377252966507
186,-0.6264570625814071
187,-0.857638296289463
188,-0.9458328826253158
189,-1.0127740892840624
190,-1.1109474233479177
191,-1.0855070187445948
192,-1.0247808053485852
193,-0.9213527840718161
194,-0.8762709261896764
195,-0.8255895861531829
196,-0.8916536967095094
197,-1.0032417730137442
198,-1.093988452994108
199,-1.1078023992817163
200,-1.0832825720453154
201,-0.95353583588265
202,-0.6040211490576529
203,-0.1436185728351858
204,0.20451095160597735
205,0.36922749773705793
206,0.4676467115724391
207,0.3943093112423217
208,0.1361349647616245
209,-0.24866749213298905
210,-0.6122004541771087
211,-0.9575579172884577
212,-1.2482256734437644
213,-1.5222520945421099
214,-1.7412700850898024
215,-1.9490608614629994
216,-2.106553652709285
217,-2.182743872075768
218,-2.2388549254954877
219,-2.2697188567729425
220,-2.290486122234339
221,-2.3190701139116467
222,-2.3445496783945297
223,-2.3602755694510735
224,-2.3564219583217025
225,-2.3104258491086234
226,-2.132847513625526
227,-1.8710906798269802
228,-1.7421899676402686
229,-1.6676671067321833
230,-1.635971299764028
231,-1.6524926151963293
232,-1.785769427656228
233,-1.9209127890134323
234,-1.8315947261127437
235,-1.6283716111109903
236,-1.393404582528422
237,-1.230774607265703
238,-0.9594727438259862
239,-0.7537255880978087
240,-0.755251464935354
241,-0.858805455473337
242,-0.9627698099653899
243,-1.0531302947756835
244,-1.3328786013668876
245,-1.601082381733441
246,-1.724070782236133
247,-1.788571045196237
248,-1.846244446646979
249,-1.8804491741608915
250,-1.733961878743755
251,-1.3339839447776396
252,-0.861237984485563
253,-0.36450362493517746
254,-0.03023438526673279
255,0.4630546806036928
256,0.8157598677586164
257,0.9277145787959308
258,0.8589887757924402
259,0.7094663989670084
260,0.7204826545441736
261,0.5537642472805664
262,0.5477110412046204
263,0.4449179329676057
264,0.3760479070652645
265,0.2693884705259163
266,0.23112641718065913
267,0.0005360185326789701
268,-0.3773074846767806
269,-0.5685338686160136
270,-0.6598792801296063
271,-0.7504708484497524
272,-0.9783035535094725
273,-1.0171415436869031
274,-0.93900409014617
275,-0.8398127253141853
276,-0.8045383429308006
277,-0.7767146422870027
278,-0.711248558751578
279,-0.531162577530026
280,-0.5184824690123906
281,-0.5483898986737575
282,-0.5581943691752033
283,-0.40269727630674534
284,-0.294682955981817
285,-0.3000728450416293
286,-0.30209731205966744
287,-0.38672885148921526
288,-0.3625062790249096
289,-0.41326014217985435
290,-0.41593538401098845
291,-0.5522913267934455
292,-0.6386301319307399
293,-0.5483545274219516
294,-0.43206269851078355
295,-0.4763637022302389
296,-0.5264091184154499
297,-0.368801455465276
298,-0.16278286456414434
299,-0.14333450707428427
300,-0.14641124213688347
301,-0.019936281833894003
302,0.017825565801015446
303,0.0008737479068123578
304,-0.07260361109275516
305,-0.12589858885607091
306,-0.22202603390764228
307,-0.3777208672678196
308,-0.4178853618311575
309,-0.5457062869654439
310,-0.7118495539500139
311,-0.8576927615418829
312,-0.9869411482042603
313,-1.0238913660282714
314,-1.053968143487196
315,-1.1597018346920676
316,-1.3131446985359316
317,-1.5029084029096678
318,-1.7238819687749802
319,-1.929545017408209
320,-2.1612719143875605
321,-2.2571166390116515
322,-2.308773959197435
323,-2.34213674411542
324,-2.3611784898795896
325,-2.3720569066879396
326,-2.377504622325505
327,-2.3766068199265327
328,-2.331798853822162
329,-2.1251878628215093
330,-1.8135193224173976
331,-1.500016190017744
332,-1.1680086682062207
333,-0.9066690937144084
334,-0.7170611199255581
335,-0.6507952870077202
336,-0.7184562437077644
337,-0.6718658701184353
338,-0.593551340726109
339,-0.44562556586948565
340,-0.048685959663947495
341,0.45985602255473385
342,1.1250109409745026
343,1.6750701605924017
344,2.211419971051575
345,2.8692422907998383
346,3.19563877056407
347,3.5320990966900654
348,3.800711542029181
349,4.219683515226986
350,4.79440603572598
351,4.8434555515818145
352,5.047269610709374
353,5.024964404865865
354,5.093146918262874
355,4.74585955531711
356,4.283610949611942
357,4.129626714669445
358,3.4963468458279015
359,2.6693874957746133
360,1.5021100092624722
361,0.5390463246841345
362,-0.5062268978585214
363,-1.4439715450120043
364,-1.9702627460267936
365,-2.2457239167080965
366,-2.2645519303594277
367,-2.119355675065923
368,-1.7877672346865843
369,-1.361518506111792
370,-0.871905657024713
371,-0.19130641754071365
372,0.5021622089807336
373,1.0715013023592161
374,1.7408401941954985
375,2.4241508591726366
376,2.8992734472593225
377,3.257422337776151
378,3.809398800159199
379,4.682998750323362
380,5.493173700832744
381,5.894618224879981
382,6.77471851309529
383,7.164117353333876
384,7.390859590229496
385,6.963910509309993
386,6.4486015608252085
387,6.355177534156166
388,5.607138399111367
389,5.465099222077822
390,5.158677682030451
391,5.252131065317895
392,4.965805497935129
393,4.465149123098492
394,4.1408065453670275
395,3.7456248763385407
396,3.2441415239590548
397,2.5930578454890236
398,2.1750400679583146
399,1.7936886388643918
400,1.4171449976728334
401,0.7384776485714413
402,0.23633763872935293
403,-0.23376741626337982
404,-0.7276273281819077
405,-1.1423244998484177
406,-1.435877295452253
407,-1.5939206198783966
408,-1.7842756308005887
409,-1.8534995325753525
410,-1.8447031022488904
411,-1.8622561730531737
412,-1.891092253229977
413,-1.8886875968597545
414,-1.780948152817669
415,-1.6675449776629745
416,-1.5092031401513013
417,-1.3922343858634683
418,-1.2500859729935896
419,-1.1030291115596509
420,-1.1176049564105277
421,-1.24732135839192
422,-1.4637951954171537
423,-1.6485097047785882
424,-1.8605693901749472
425,-2.1045772823413667
426,-2.2656959469852946
427,-2.3439867327713855
428,-2.3754306629352047
429,-2.378778855045944
430,-2.3788956816784723
431,-2.3786243677990164
432,-2.3729578721245734
433,-2.329736588583008
434,-2.202356639695479
435,-2.0009700161435835
436,-1.8959508775103633
437,-1.7179827078633738
438,-1.26014964747143
439,-0.6126167883814423
440,-0.07402356413524447
441,0.6884284093217541
442,1.4780831934020586
443,2.0771449708839564
444,2.277653854203179
445,2.307716682240496
446,2.2203977402144255
447,2.051146149036584
448,1.7972115851259471
449,1.5348253885327274
450,1.2834298216050637
451,0.7675988482271388
452,0.3278601637427073
453,-0.33874731004750774
454,-0.8344175798751184
455,-1.1256989225449696
456,-1.2317367880654515
457,-1.0037435195582867
458,-0.695606906050246
459,-0.23705824912122614
460,0.29543379144922516
461,0.5551868597639108
462,0.7035570359259868
463,0.789887439020836
464,0.7547129410940697
465,0.5804541640336979
466,0.3163865716195152
467,0.10636266928163207
468,-0.18501762498222546
469,-0.6450306057919718
470,-1.0655012799618204
471,-1.4836983133715307
472,-1.8654143030436268
473,-1.9943725186767562
474,-1.6189988277428822
475,-1.1162526908810484
476,-0.7128771755620844
477,-0.25860993938301724
478,0.23706702894584403
479,0.6420651373790959
480,0.7340608031557972
481,0.7163754125546445
482,0.8827634082583697
483,1.2032523044435872
484,1.2431141994190884
485,1.2229152648232111
486,1.2693650495904
487,1.525183818434495
488,1.7463162075042473
489,1.711319850580726
490,2.2027883757122853
491,2.640782458177485
492,2.7577599356808653
493,2.699727830383271
494,2.71230588434711
495,2.680650820566491
496,2.1965999162587675
497,1.772353824758618
498,1.5336201787780102
499,1.4528840334544835
500,1.1098342453254004
501,0.8403250492942332
502,0.7316951439886038
503,0.6055414975982187
504,0.32040426305437214
505,-0.024756771026554446
506,-0.22834145288056074
507,-0.29427028430182073
508,-0.43764173053618594
509,-0.5451102918443064
510,-0.6375231713975148
511,-0.7497976514091406
512,-0.811440623909964
513,-0.9759749161647053
514,-0.9176754093535594
515,-0.7723755806519602
516,-0.45427099760197354
517,-0.3308570047402935
518,-0.21148700396622766
519,-0.06286561314031007
520,-0.03558754374754036
521,-0.22186790198191733
522,-0.4278329868987366
523,-0.3770115209336597
524,-0.23755000342834645
525,-0.12726904130763306
526,-0.10444553637151911
527,0.1748571734379513
528,0.4461295754717806
529,0.6863450558378612
530,0.7667753956785743
531,0.8460374416891638
532,0.879139374839486
533,0.9489572816797661
534,1.0290628250036324
535,0.9577533538239253
536,0.9544701785175886
537,1.0216396310166458
538,1.0726143176243277
539,1.1940473047404596
540,1.3147230132695216
541,1.4034890894517373
542,1.4630963020816405
543,1.6236615546460205
544,1.6486795241592798
545,1.47791730465137
546,1.2720593498013548
547,1.2542442228479873
548,1.2398389348993109
549,0.8424024593557834
550,0.8343250605518165
551,0.66509802254308
552,0.45498302341512115
553,0.2628187065712976
554,0.03043799675237093
555,-0.14518761769188723
556,-0.5191386868114458
557,-0.702876118024185
558,-0.8116285960247202
559,-0.9020696018016813
560,-0.9950827602702366
561,-0.9948806322873887
562,-0.8961767122788855
563,-0.8768407443020901
564,-0.7667153623770679
565,-0.8437258278631811
566,-0.9323357337062196
567,-1.0558910759446762
568,-1.3044695844953422
569,-1.5703302098821992
570,-1.9267131708155674
571,-2.145218788241289
572,-2.2811140995140984
573,-2.3584820686085273
574,-2.375837359656659
575,-2.3787236629591426
576,-2.3782955241132195
577,-2.378169260006626
578,-2.3758007045714105
579,-2.3715142215941483
580,-2.3685926690377865
581,-2.36677392666354
582,-2.3670220765091035
583,-2.3672768631096344
584,-2.369870171806115
585,-2.3740455535292058
586,-2.3720832927221034
587,-2.365775081694967
588,-2.3595365838100593
589,-2.356376337571716
590,-2.3520826261883445
591,-2.323672198872613
592,-2.2189710922815027
593,-1.9666496583044886
594,-1.7669479055032284
595,-1.4359608141212068
596,-0.9699589786875804
597,-0.5290822127646073
598,-0.24794106468105379
599,0.0033746827520381426
600,0.44891983490972565
601,0.9108240476684814
602,1.4135018234320054
603,1.2985235441964185
604,1.07142658129581
605,0.9222297541824043
606,0.8686722200913699
607,0.5059668468443156
608,0.1764185171705958
609,0.6072573493400096
610,1.2649240001252493
611,1.8299273859292406
612,2.0914709405925946
613,2.4648906332018585
614,2.4144085179021677
615,2.1191062632105777
616,1.515431214233177
617,0.7429403017574953
618,-0.04966351247587281
619,-0.8055129870859754
620,-1.3536403130617243
621,-1.780998242640331
622,-1.9330472589003818
623,-1.8957463561101109
624,-1.5495353277571098
625,-1.190548034322503
626,-0.9575256669651974
627,-0.7758559901852009
628,-0.6859858955221105
629,-0.7225211689815517
630,-0.9696972532958323
631,-1.199854421173058
632,-1.3337536399784877
633,-1.4506762348720945
634,-1.4584773177456016
635,-1.3522855623201888
636,-1.2617219619451714
637,-1.0829832958416192
638,-0.9059375119474943
639,-0.792189093188803
640,-0.7977683603816121
641,-0.975133981521736
642,-0.9827468910425465
643,-0.7784315781046636
644,-0.4097012255221406
645,-0.12113126934112346
646,0.21214930974379248
647,0.6305635720288674
648,0.9357423587847745
649,0.8681822547425339
650,0.6783657552310766
651,0.4695094152415385
652,0.21681330754424682
653,0.029531534400349526
654,-0.037012605004196335
655,0.00905191005538524
656,0.22102515943863366
657,0.5024887451526368
658,0.7948497679905319
659,1.0774648519463645
660,1.2270182702398005
661,1.5288374063634291
662,1.706227164005798
663,1.907356925061879
664,2.1723040428795657
665,2.070580351544127
666,1.9243142231423682
667,1.8151011719477894
668,1.7129631293490257
669,1.8128107394101125
670,1.552423539495368
671,1.5355979604324195
672,1.7003630628001913
673,1.7059772440458272
674,1.5419042173712596
675,1.3460996329285466
676,1.3431825233990873
677,1.2431130959221666
678,0.8243436941616139
679,0.3956793467284642
680,0.07069415774154858
681,-0.4746507518457412
682,-0.9257777428400965
683,-1.1810255782035457
684,-1.1916280158343397
685,-1.104997802737926
686,-0.8631236967808147
687,-0.48893831246381003
688,-0.14382764692014782
689,0.06869021691126687
690,0.23457165981128864
691,0.3290061645026469
692,0.22395059395021402
693,0.11077154193856485
694,-0.10800874332719865
695,-0.34749256445793963
696,-0.6295820455080159
697,-0.9417859051548284
698,-1.116349182836916
699,-1.342458939886233
700,-1.4114976574518732
701,-1.4856573395451105
702,-1.5517924928291456
703,-1.5642594354266814
704,-1.6143259307589122
705,-1.621617347319149
706,-1.69876463770297
707,-1.7033705314767629
708,-1.6886231469319328
709,-1.6421375555236324
710,-1.5378310327493985
711,-1.5067479326410278
712,-1.5047171954872776
713,-1.5942719151173397
714,-1.6890738187985226
715,-1.798629201399318
716,-1.8954426106015279
717,-1.8879049174777647
718,-1.8160513002964487
719,-1.7512891068038425
720,-1.612330897472485
721,-1.4228012008441726
722,-1.2649485390400743
723,-1.2718185533792083
724,-1.3992582126279478
725,-1.5058246483318978
726,-1.6965050951881926
727,-1.95702173875926
728,-2.1704641060816465
729,-2.227824201274381
730,-2.143944898474689
731,-1.9408087846212763
732,-1.6871851810696898
733,-1.407926767983859
734,-1.1973937067699265
735,-0.8965721525999935
736,-0.6135889083958084
737,-0.46292332434491534
738,-0.26294062144829417
739,-0.1909795491704074
740,0.002134563570846766
741,0.051703945703385545
742,0.09975779504830337
743,0.04620526423384236
744,-0.09743453617835285
745,-0.2559702005287731
746,-0.6026986446699076
747,-0.9847703479271337
748,-1.405353965873665
749,-1.7018717882855259
750,-1.964793911380763
751,-2.095747511578025
752,-2.059958570342422
753,-1.9078726201593321
754,-1.6756080186483486
755,-1.219496634642646
756,-0.8212584995043775
757,-0.5088363862164019
758,-0.17289049500600767
759,0.0201439503694666
760,0.14253847510654813
761,0.10278406446175166
762,0.08301913491335468
763,0.047921222741905446
764,-0.0757778037472412
765,-0.054845821324397845
766,0.029462112990296035
767,0.2853771016439495
768,0.4472086378040587
769,0.7764604587686104
770,1.0250345819320608
771,1.29031457643954
772,1.613718558084085
773,1.8416222345829414
774,2.081258805906179
775,2.456513343351726
776,3.0367066947556918
777,3.462905559333653
778,3.9301212235774066
779,4.13105686474512
780,4.888368308506139
781,4.967471657267833
782,4.890456072706311
783,4.871437517816257
784,4.697524701101396
785,4.899114797473985
786,4.454113266312524
787,4.449417057178579
788,4.173462691719198
789,3.83714599198536
790,3.5501990094210214
791,3.0571692381112285
792,2.8778691041117326
793,2.6821625882991147
794,2.5138627011273122
795,2.4788332030385596
796,2.289156714700556
797,1.9502888943256387
798,1.6189777762099333
799,1.4778651701192473
800,1.5191569241348994
801,1.5488020703849577
802,1.583200932252202
803,2.0180409360787452
804,2.2757140141527143
805,2.416008276951642
806,2.4604606143738623
807,2.4484872961205117
808,2.4767199520545846
809,2.0254666087480095
810,1.6051237614990508
811,1.3889137872973074
812,1.1772037896046375
813,0.8541986288659916
814,0.5744631426926965
815,0.4233651383769466
816,0.33157309434170346
817,-0.0908524507195052
818,-0.446921755674903
819,-0.8498393225533062
820,-1.295304949142447
821,-1.6488462726226942
822,-1.9885884600085408
823,-2.1471581985745485
824,-2.169932928145636
825,-2.1101583348190114
826,-2.0847633526704508
827,-2.097196151697046
828,-2.123677581654995
829,-2.184936280828902
830,-2.1627920986881555
831,-1.683942018268707
832,-0.8284657993721584
833,0.24695522468098044
834,0.9453846119451494
835,1.6305115688353529
836,2.5030025050983076
837,3.002384336402309
838,3.2230417750860973
839,3.1511883581640583
840,3.4099636817256096
841,3.9034036280563327
842,4.22652252182149
843,4.714414983297581
844,5.018444693353327
845,5.134810664674326
846,5.14260562339233
847,4.7342680568967195
848,4.375022421794481
849,3.8578142606307138
850,3.5140600223841933
851,3.632238155023692
852,3.6074156537292144
853,3.792954412062551
854,4.005574126883457
855,4.108374192281613
856,4.231457091281496
857,3.9144016328641795
858,3.915608527489728
859,3.7920434492136588
860,3.3797445921275115
861,3.3423992740546424
862,3.299236948224615
863,3.5879806867802477
864,3.878951552065723
865,4.009073017866759
