,sink_m1,sink_m4,sink_m7,sink_m8,sink_m10,sink_m11,sink_m13,sink_m14,sink_m16,sink_m17,sink_m20,sink_m21,sink_m23,sink_m24,sink_m26,sink_m27,sink_m29,sink_m30,sink_m31,sink_m32
2019-01-01 00:00:00,-0.3350065685553252,-0.38904690485810856,-0.25036920902748927,-0.24676383348221764,-0.29042501775546864,-0.18209820987023453,-0.26120552036131844,-0.2743944055261421,-0.16982307443626363,-0.1658163414711334,-0.28793532122818977,-0.19203129697766655,-0.1383773612271265,-0.25080907718483786,-0.3240088003886867,-0.15578419455815384,-0.24668237431204784,-0.2597829330727531,-0.17348750426968568,-0.14218159340017322
2019-01-01 01:00:00,-0.32178306113370186,-0.3727207307723914,-0.24851119064589514,-0.28416239745420385,-0.25159121376808813,-0.2171425685072802,-0.3230589761311926,-0.203736541245371,-0.21844843390082738,-0.17903286034684668,-0.20760603494397423,-0.22890753212807574,-0.15495032168492268,-0.14657420402463386,-0.4128117306903467,-0.16371199477078324,-0.1538982825978425,-0.4066768283553918,-0.1367893396465184,-0.10079523223690758
2019-01-01 02:00:00,-0.34302684122708654,-0.4009652127546316,-0.2652087139266403,-0.2825919332073602,-0.2910921828072883,-0.17816606133247828,-0.39609740326573223,-0.32513547690660033,-0.16856770493483436,-0.25860118727721454,-0.47625017952646204,-0.18186879366301972,-0.2674678534905425,-0.36721988455810994,-0.2728644602217073,-0.28308275622839246,-0.3851016984020485,-0.2861574358785021,-0.2737227141597977,-0.3050942163276918
2019-01-01 03:00:00,-0.3632100893969326,-0.3989470325632237,-0.2722465129953841,-0.3023784045486064,-0.3094111752061149,-0.18097873406065698,-0.4283208308582998,-0.27205015676014227,-0.2007132586809855,-0.2862902568464769,-0.3217652149588551,-0.2335463891300909,-0.2823344114203872,-0.2776077319669131,-0.3385127883925664,-0.33560691456934955,-0.3459930696146686,-0.27067266561098086,-0.3701278105322744,-0.20332034108208988
2019-01-01 04:00:00,-0.37039077429589257,-0.43259340978415756,-0.28181259702369765,-0.34365217020080574,-0.36055383207047265,-0.22191599311120583,-0.4297314895951189,-0.2897569074432421,-0.18220336685531266,-0.2725906542119428,-0.4238256178863188,-0.23004727444338016,-0.28196265864618375,-0.41494814568083616,-0.41116597716169073,-0.277735084034413,-0.5163932736545321,-0.4204841473502305,-0.2599493437224062,-0.3725019216011839
2019-01-01 05:00:00,-0.4009473503428516,-0.4386077875685023,-0.29763285963621,-0.33066755243181734,-0.366080527015886,-0.18874052068909936,-0.362368159673904,-0.32032993834462636,-0.2054304795565994,-0.20939513632238174,-0.37847312195340105,-0.19974675734061034,-0.23617331340967535,-0.3006555442030854,-0.29704712310279663,-0.19094710623709335,-0.35305904401292915,-0.3022110871143417,-0.2162734580382456,-0.2147832478176133
2019-01-01 06:00:00,-0.42647744696053846,-0.460566792934716,-0.3343102410574926,-0.36161204398238284,-0.41345283806855765,-0.2099360518672023,-0.42821197900656666,-0.3725698933703532,-0.19238295894199764,-0.325210427514994,-0.4514446130178272,-0.21673405326040918,-0.26489983175728976,-0.3128683776010908,-0.3614637562969374,-0.21171282113108497,-0.3833800251637486,-0.3044040210793197,-0.21516390254184514,-0.21058111850838757
2019-01-01 07:00:00,-0.4284438499020998,-0.48657219938121515,-0.3418408831982772,-0.37772038768113264,-0.41927966752682116,-0.2618168891977337,-0.4397320490344019,-0.46144063453281575,-0.287333988597367,-0.31537375240552096,-0.6649092503551288,-0.330200472326546,-0.3491941430650463,-0.6638750473078691,-0.42807880843074986,-0.40078821031698464,-0.6455523591979858,-0.35220995489046464,-0.4014499208391685,-0.39243009143382473
2019-01-01 08:00:00,-0.4271955154504345,-0.5109409721401545,-0.3365822476196011,-0.39997275514943004,-0.4489665051396493,-0.21034759903769343,-0.5348362773535278,-0.457578780956725,-0.1888537640697137,-0.40508446997190395,-0.5492009999948475,-0.22670080085029126,-0.45728760886103076,-0.493290683126126,-0.39295654837580835,-0.49784802791065924,-0.6198720673845203,-0.30592467367582116,-0.5689269756426992,-0.4050946084438604
2019-01-01 09:00:00,-0.40541042218774354,-0.4818229494780514,-0.325527777513724,-0.2796691780729469,-0.39757319856488327,-0.23833021684624928,-0.34702286534501064,-0.3499488249523902,-0.2130452668494613,-0.2314279226820876,-0.39391764251574773,-0.21782019217672585,-0.1987997444028144,-0.2865179304844211,-0.3972235697261797,-0.20813751294080884,-0.37365793612910725,-0.40551335215266954,-0.2195977597765795,-0.23590560076152922
2019-01-01 10:00:00,-0.3871935769594589,-0.4156949159426679,-0.2992592417739449,-0.26205564956555005,-0.31633316795835886,-0.2760852281547889,-0.360768990547797,-0.2669097820046439,-0.3011451453624448,-0.2710162859524169,-0.38846706986975466,-0.29610416272566187,-0.27330587895766995,-0.3075816790905774,-0.48158063581208604,-0.2343385019992349,-0.3602285159645379,-0.35694456564132604,-0.2612243732021867,-0.22739886908489423
