,predict_1,predict_2,predict_3,predict_4,predict_5,predict_6,predict_7,predict_8,predict_9,predict_10,predict_11,predict_12
2021-01-01 00:00:00,-0.3221920363864212,-0.4938085796176494,-0.4099276215548014,-0.4039025758138219,-0.394264899365944,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236
2021-01-01 01:00:00,-0.4938085796176494,-0.4099276215548014,-0.4039025758138219,-0.394264899365944,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209
2021-01-01 02:00:00,-0.4099276215548014,-0.4039025758138219,-0.394264899365944,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604
2021-01-01 03:00:00,-0.4039025758138219,-0.394264899365944,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528
2021-01-01 04:00:00,-0.394264899365944,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813
2021-01-01 05:00:00,-0.3397011999444067,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816
2021-01-01 06:00:00,-0.3968057621620487,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851
2021-01-01 07:00:00,-0.3957661080917792,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514
2021-01-01 08:00:00,-0.4589158449591794,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899
2021-01-01 09:00:00,-0.2354115569980532,-0.2623762919296643,-0.1875215045263236,-0.2213883147829209,-0.3268804330254604,-0.3513345766478528,-0.4693826056487813,-0.5595328081209816,-0.4640627451130851,-0.7207943685786514,-0.3664790874675899,-0.530378788234323
